Unnamed: 0,NYJ,PHI
First Downs,9,17
Rush-Yds-TDs,19-67-1,29-84-1
Cmp-Att-Yd-TD-INT,15-26-120-0-2,17-29-189-1-0
Sacked-Yards,10-59,1-8
Net Pass Yards,61,181
Total Yards,128,265
Fumbles-Lost,2-1,3-1
Turnovers,3,1
Penalties-Yards,9-52,9-76
Third Down Conv.,3-14,5-13
Fourth Down Conv.,0-1,0-2
Time of Possession,29:08,30:52
