Unnamed: 0,DET,ARI
First Downs,22,28
Rush-Yds-TDs,27-90-0,27-109-1
Cmp-Att-Yd-TD-INT,22-31-270-2-0,23-35-270-2-3
Sacked-Yards,4-38,1-2
Net Pass Yards,232,268
Total Yards,322,377
Fumbles-Lost,0-0,0-0
Turnovers,0,3
Penalties-Yards,7-46,7-38
Third Down Conv.,4-12,4-10
Fourth Down Conv.,1-1,1-1
Time of Possession,32:50,27:10
