Quarter,Time,Tm,Detail,DET,ARI
1.0,8:27,Lions,Matt Prater 37 yard field goal,3,0
,0:14,Cardinals,Andy Isabella 13 yard pass from Kyler Murray (Zane Gonzalez kick),3,7
2.0,6:15,Lions,Jesse James 5 yard pass from Matthew Stafford (Matt Prater kick),10,7
,1:53,Cardinals,Kyler Murray 1 yard rush (Zane Gonzalez kick failed),10,13
,0:31,Lions,Kenny Golladay 15 yard pass from Matthew Stafford (Matt Prater kick),17,13
3.0,11:19,Cardinals,Zane Gonzalez 54 yard field goal,17,16
,5:27,Lions,Matt Prater 24 yard field goal,20,16
,0:35,Cardinals,Andy Isabella 4 yard pass from Kyler Murray (Zane Gonzalez kick),20,23
4.0,6:44,Lions,Matt Prater 35 yard field goal,23,23
,0:00,Lions,Matt Prater 39 yard field goal,26,23
