Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Ola Kimrin kicks off 63 yards, returned by Bernard Berrian for 25 yards (tackle by Rock Cartwright)",0.000,1.070
1,14:55,1,10,CHI 32,0,0,Thomas Jones right tackle for 2 yards (tackle by Ryan Clark),1.070,0.800
1,14:21,2,8,CHI 34,0,0,Thomas Jones right tackle for 2 yards (tackle by Antonio Pierce),0.800,0.370
1,13:41,3,6,CHI 36,0,0,Jonathan Quinn pass incomplete intended for Bobby Wade,0.370,-0.980
1,13:41,4,6,CHI 36,0,0,"Brad Maynard punts 41 yards, fair catch by Chad Morton",-0.980,-0.480
1,13:28,1,10,WAS 23,0,0,Mark Brunell pass complete to Walter Rasby for 12 yards (tackle by Todd Johnson),0.480,1.270
1,12:53,1,10,WAS 35,0,0,Clinton Portis left end for -1 yards (tackle by Ian Scott),1.270,0.590
1,12:12,2,11,WAS 34,0,0,Clinton Portis left guard for 12 yards (tackle by Todd Johnson),0.590,1.990
1,11:34,1,10,WAS 46,0,0,Clinton Portis left end for 3 yards (tackle by Ian Scott),1.990,1.860
1,10:58,2,7,WAS 49,0,0,Mark Brunell pass incomplete intended for Laveranues Coles (defended by Alex Brown),1.860,1.160
1,10:54,3,7,WAS 49,0,0,"Mark Brunell pass incomplete intended for Rod Gardner. Penalty on Walter Rasby: Offensive Holding (Offsetting), Penalty on Todd Johnson: Defensive Pass Interference (Offsetting) (no play)",1.160,1.160
1,10:45,3,7,WAS 49,0,0,Mark Brunell pass incomplete intended for Rod Gardner,1.160,-0.130
1,10:40,4,7,WAS 49,0,0,"Tom Tupa punts 39 yards, returned by R.W. McQuarters for 2 yards (tackle by Ryan Clark)",-0.130,0.280
1,10:31,1,10,CHI 14,0,0,Thomas Jones right end for 1 yard (tackle by Marcus Washington),-0.280,-0.640
1,9:54,2,9,CHI 15,0,0,Jonathan Quinn pass complete to Bryan Johnson for 1 yard (tackle by Fred Smoot),-0.640,-1.160
1,9:07,3,8,CHI 16,0,0,Jonathan Quinn pass incomplete intended for David Terrell,-1.160,-2.390
1,9:04,4,8,CHI 16,0,0,Brad Maynard punts 37 yards,-2.390,-2.060
1,8:57,1,10,WAS 47,0,0,Clinton Portis left end for 13 yards (tackle by R.W. McQuarters),2.060,2.920
1,8:17,1,10,CHI 40,0,0,Clinton Portis right tackle for 1 yard (tackle by Michael Green),2.920,2.510
1,7:55,2,9,CHI 39,0,0,Mark Brunell pass incomplete intended for Laveranues Coles,2.510,1.820
1,7:49,3,9,CHI 39,0,0,Mark Brunell pass complete to Laveranues Coles for 11 yards (tackle by Lance Briggs),1.820,3.710
1,7:02,,,,0,0,Timeout #1 by Washington Redskins,0.000,3.710
1,7:02,1,10,CHI 28,0,0,Clinton Portis right guard for 4 yards (tackle by Brian Urlacher and Lance Briggs),3.710,3.710
1,6:29,2,6,CHI 24,0,0,Clinton Portis right tackle for 1 yard (tackle by Tank Johnson and Brian Urlacher),3.710,3.140
1,5:52,3,5,CHI 23,0,0,Mark Brunell pass incomplete intended for Walter Rasby,3.140,1.980
1,5:46,4,5,CHI 23,3,0,Ola Kimrin 41 yard field goal good,1.980,3.000
1,,,,WAS 30,3,0,"Ola Kimrin kicks off 63 yards, returned by Bernard Berrian for 24 yards (tackle by Pat Dennis)",0.000,1.000
1,5:36,1,10,CHI 31,3,0,Jonathan Quinn pass incomplete intended for Desmond Clark,1.000,0.460
1,5:31,2,10,CHI 31,3,0,Anthony Thomas right guard for 1 yard (tackle by Cornelius Griffin and Lemar Marshall),0.460,-0.100
1,4:51,3,9,CHI 32,3,0,Jonathan Quinn pass complete to Bobby Wade for 2 yards (tackle by Fred Smoot),-0.100,-1.110
1,4:11,4,7,CHI 34,3,0,"Brad Maynard punts 45 yards, fair catch by Chad Morton",-1.110,-0.340
1,4:04,1,10,WAS 21,3,0,Clinton Portis right end for 6 yards (tackle by Todd Johnson),0.340,0.610
1,3:30,2,4,WAS 27,3,0,Clinton Portis left tackle for 3 yards (tackle by Todd Johnson and Tank Johnson),0.610,0.300
1,2:45,3,1,WAS 30,3,0,Mark Brunell pass complete to Laveranues Coles for 21 yards (tackle by Todd Johnson),0.300,2.320
1,2:03,1,10,CHI 49,3,0,Mark Brunell pass incomplete intended for Taylor Jacobs,2.320,1.780
1,1:57,2,10,CHI 49,3,0,Mark Brunell pass complete to Clinton Portis for 11 yards (tackle by Lance Briggs),1.780,3.050
1,1:13,1,10,CHI 38,3,0,Clinton Portis right tackle for 19 yards (tackle by Todd Johnson),3.050,4.310
1,0:32,1,10,CHI 19,3,0,Clinton Portis left tackle for 1 yard (tackle by Adewale Ogunleye),4.310,3.880
Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CHI 18,9,0,"Mark Brunell pass complete to Rod Gardner for 18 yards, touchdown",3.880,7.000
2,,,,CHI 2,10,0,Ola Kimrin kicks extra point good,0.000,0.000
2,,,,WAS 30,10,0,"Ola Kimrin kicks off 69 yards, returned by Jerry Azumah for 20 yards (tackle by Khary Campbell)",0.000,0.340
2,14:46,1,10,CHI 21,10,0,Thomas Jones left guard for 4 yards (tackle by Lemar Marshall),0.340,0.340
2,14:09,2,6,CHI 25,10,0,Jonathan Quinn pass complete to Bobby Wade for 16 yards (tackle by Fred Smoot),0.340,1.660
2,13:42,1,10,CHI 41,10,0,Thomas Jones right end for 3 yards (tackle by Lemar Marshall),1.660,1.530
2,13:20,2,7,CHI 44,10,0,Bobby Wade right end for -4 yards (tackle by Marcus Washington and Renaldo Wynn),1.530,0.300
2,12:41,3,11,CHI 40,10,0,Jonathan Quinn pass incomplete,0.300,-0.720
2,12:36,4,11,CHI 40,10,0,Brad Maynard punts 58 yards,-0.720,0.380
2,12:25,1,10,WAS 2,10,0,Clinton Portis left tackle for 3 yards (tackle by Brian Urlacher),-0.380,-0.560
2,11:45,2,7,WAS 5,10,0,Clinton Portis right guard for no gain (tackle by Michael Haynes),-0.560,-1.070
2,11:45,3,7,WAS 5,10,0,"Penalty on WAS: Offensive 12 On-field, 2 yards (no play)",-1.070,-1.300
2,10:47,3,9,WAS 3,10,0,Ladell Betts left tackle for 10 yards (tackle by Brian Urlacher and Michael Green),-1.300,-0.320
2,10:05,1,10,WAS 13,10,0,Clinton Portis right end for 3 yards (tackle by Brian Urlacher and Todd Johnson),-0.320,-0.440
2,9:32,2,7,WAS 16,10,0,Clinton Portis right tackle for 2 yards (tackle by Michael Green),-0.440,-0.830
