Unnamed: 0,WAS,CHI
First Downs,18,9
Rush-Yds-TDs,47-218-0,28-126-0
Cmp-Att-Yd-TD-INT,8-22-95-1-1,10-22-65-0-1
Sacked-Yards,1-2,4-31
Net Pass Yards,93,34
Total Yards,311,160
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,5-39,7-65
Third Down Conv.,6-18,1-13
Fourth Down Conv.,0-0,0-1
Time of Possession,34:01,25:59
