Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Kai Forbath kicks off 73 yards, returned by Josh Cribbs for 32 yards (tackle by Darrel Young)",0.000,-0.540
1,14:55,1,10,IND 24,0,0,"Andrew Luck sacked by Ryan Kerrigan for -10 yards. Andrew Luck fumbles (forced by Ryan Kerrigan), recovered by Jason Hatcher at IND-15 (tackle by Anthony Castonzo)",0.540,-4.580
1,14:48,1,10,IND 15,0,0,Alfred Morris right end for 4 yards (tackle by Jerrell Freeman and D'Qwell Jackson),4.580,4.640
1,14:03,2,6,IND 11,0,0,Colt McCoy pass incomplete short right intended for Darrel Young,4.640,3.780
1,13:58,3,6,IND 11,0,0,Colt McCoy pass complete short right to Jordan Reed for 4 yards (tackle by Jerrell Freeman),3.780,3.000
1,13:22,4,2,IND 7,3,0,Kai Forbath 25 yard field goal good,3.000,3.000
1,13:22,,,WAS 35,3,0,"Kai Forbath kicks off 72 yards, returned by Josh Cribbs for 34 yards (tackle by Everette Brown)",0.000,-0.740
1,13:11,1,10,IND 27,3,0,Trent Richardson right end for 1 yard (tackle by Trent Murphy),0.740,0.330
1,12:42,2,9,IND 28,3,0,"Andrew Luck pass incomplete short right intended for Coby Fleener. Penalty on Chase Minnifield: Defensive Pass Interference, 10 yards (no play)",0.330,1.470
1,12:38,1,10,IND 38,3,0,Trent Richardson right tackle for 1 yard (tackle by Ryan Kerrigan),1.470,1.060
1,12:03,2,9,IND 39,3,0,"Andrew Luck pass incomplete short middle intended for Reggie Wayne is intercepted by Ryan Clark at WAS-47 and returned for 8 yards. Ryan Clark fumbles (forced by T.Y. Hilton), ball out of bounds at IND-45",1.060,-2.590
1,11:50,1,10,IND 45,3,0,Colt McCoy sacked by Jerrell Freeman for -5 yards,2.590,1.370
1,11:50,2,15,,3,0,Colt McCoy pass complete short left to Alfred Morris for 1 yard (tackle by Cory Redding),1.370,0.830
1,10:22,3,14,IND 49,3,0,Colt McCoy pass incomplete short right intended for DeSean Jackson,0.830,0.000
1,10:16,4,14,IND 49,3,0,"Tress Way punts 32 yards, fair catch by Josh Cribbs",0.000,0.060
1,10:07,1,10,IND 17,3,0,Dan Herron up the middle for 5 yards (tackle by Frank Kearse and Chris Baker),-0.060,0.210
1,9:27,2,5,IND 22,3,0,Andrew Luck pass complete short right to T.Y. Hilton for 8 yards,0.210,0.940
1,8:57,1,10,IND 30,3,0,Andrew Luck pass complete short left to T.Y. Hilton for 15 yards (tackle by David Amerson),0.940,1.930
1,8:23,1,10,IND 45,3,0,"Penalty on Jarvis Jenkins: Neutral Zone Infraction, 5 yards (no play)",1.930,2.660
1,8:02,1,5,,3,0,Dan Herron up the middle for 8 yards (tackle by Trent Murphy),2.660,2.790
1,7:16,1,10,WAS 42,3,0,Dan Herron right tackle for 1 yard (tackle by Brandon Meriweather),2.790,2.380
1,6:41,2,9,WAS 41,3,0,Andrew Luck pass complete short right to Reggie Wayne for 11 yards (tackle by Chase Minnifield). Penalty on David Amerson: Illegal Use of Hands (Declined),2.380,3.580
1,6:13,1,10,WAS 30,3,6,"Andrew Luck pass complete deep left to Coby Fleener for 30 yards, touchdown. Penalty on Bashaud Breeland: Illegal Use of Hands (Declined)",3.580,7.000
1,6:13,,,WAS 2,3,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,6:13,,,IND 35,3,7,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,6:05,1,10,WAS 20,3,7,Alfred Morris right end for 21 yards (tackle by Mike Adams),0.280,1.660
1,5:18,1,10,WAS 41,3,7,"Penalty on Trent Williams: False Start, 5 yards (no play)",1.660,1.330
1,4:54,1,15,WAS 36,3,7,Colt McCoy pass complete short right to Pierre Garcon for 4 yards (tackle by Greg Toler),1.330,0.990
1,4:12,2,11,WAS 40,3,7,Alfred Morris up the middle for 1 yard (tackle by Arthur Jones),0.990,0.430
1,3:29,3,10,WAS 41,3,7,Colt McCoy pass incomplete deep middle intended for Andre Roberts (defended by Darius Butler),0.430,-0.650
1,3:23,4,10,WAS 41,3,7,"Tress Way punts 49 yards, returned by Josh Cribbs for 23 yards (tackle by Steve Beauharnais). Penalty on Josh McNary: Offensive Holding, 5 yards",-0.650,0.380
1,3:10,1,10,IND 5,3,7,Trent Richardson left tackle for -1 yards (tackle by Chris Baker),-0.380,-0.850
1,2:27,2,11,IND 4,3,7,Trent Richardson left guard for 2 yards (tackle by Keenan Robinson),-0.850,-1.300
1,1:48,3,9,IND 6,3,7,Andrew Luck pass incomplete short middle intended for Coby Fleener (defended by Keenan Robinson),-1.300,-2.490
1,1:43,4,9,IND 6,3,7,"Pat McAfee punts 58 yards, returned by Andre Roberts for 11 yards (tackle by Josh McNary)",-2.490,-2.060
1,1:30,1,10,WAS 47,3,7,"Colt McCoy for no gain. Colt McCoy fumbles, recovered by Alfred Morris at WAS-46. Penalty on Trent Williams: Illegal Formation (Declined)",2.060,1.380
1,1:03,2,11,WAS 46,3,7,Colt McCoy sacked by Jonathan Newsome and Arthur Jones for -9 yards,1.380,-0.490
1,0:23,3,20,WAS 37,3,7,Colt McCoy pass complete short right to Jordan Reed for 9 yards (tackle by Jerrell Freeman),-0.490,-0.320
Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
