Unnamed: 0,NYG,SFO
First Downs,26,23
Rush-Yds-TDs,29-119-1,20-90-2
Cmp-Att-Yd-TD-INT,29-44-342-4-1,28-45-356-3-1
Sacked-Yards,2-15,0-0
Net Pass Yards,327,356
Total Yards,446,446
Fumbles-Lost,1-0,1-1
Turnovers,1,2
Penalties-Yards,5-50,2-20
Third Down Conv.,6-13,6-13
Fourth Down Conv.,0-0,1-2
Time of Possession,34:39,25:21
