Quarter,Time,Tm,Detail,ATL,DET
1.0,10:13,Falcons,Todd Peterson 21 yard field goal,3,0
,0:52,Falcons,T.J. Duckett 1 yard rush (Todd Peterson kick),10,0
2.0,10:44,Falcons,Alge Crumpler 6 yard pass from Michael Vick (Todd Peterson kick),17,0
3.0,11:46,Falcons,Alge Crumpler 32 yard pass from Michael Vick (Todd Peterson kick),24,0
,5:11,Falcons,Todd Peterson 23 yard field goal,27,0
4.0,9:18,Lions,Roy Williams 31 yard pass from Jeff Garcia (Jason Hanson kick),27,7
