Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Vick pass complete to Alge Crumpler for 30 yards (tackle by Kenoy Kennedy),0.280,2.260
1,14:23,1,10,DET 50,0,0,Michael Vick left end for 6 yards (tackle by Terrence Holt),2.260,2.520
1,13:57,2,4,DET 44,0,0,Warrick Dunn left end for 17 yards (tackle by Terrence Holt),2.520,3.780
1,13:18,1,10,DET 27,0,0,Michael Vick for 7 yards (tackle by James Hall),3.780,4.180
1,12:49,2,3,DET 20,0,0,Michael Vick pass complete to Roddy White for 9 yards (tackle by Andre' Goodman),4.180,4.840
1,12:09,1,10,DET 11,0,0,Michael Vick left end for 4 yards (tackle by Boss Bailey),4.840,4.890
1,11:27,2,6,DET 7,0,0,Warrick Dunn right tackle for 1 yard (tackle by Shaun Rogers),4.890,4.210
1,10:44,3,5,DET 6,0,0,"Penalty on Kalimba Edwards: Defensive Offside, 3 yards (no play)",4.210,4.890
1,10:21,3,2,DET 3,0,0,Michael Vick pass incomplete intended for Brian Finneran,4.890,3.050
1,10:16,4,2,DET 3,3,0,Todd Peterson 21 yard field goal good,3.050,3.000
1,,,,ATL 30,3,0,"Michael Koenen kicks off 71 yards, returned by Eddie Drummond for 18 yards (tackle by Ike Reese)",0.000,-0.060
1,10:07,1,10,DET 17,3,0,Joey Harrington pass complete to Scottie Vines for 14 yards (tackle by Jason Webster),-0.060,1.000
1,9:42,1,10,DET 31,3,0,Kevin Jones left tackle for 20 yards (tackle by Bryan Scott),1.000,2.320
1,9:11,1,10,ATL 49,3,0,Joey Harrington pass incomplete intended for Roy Williams is intercepted by DeAngelo Hall at ATL-21 and returned for 34 yards,2.320,-2.590
1,8:53,1,10,DET 45,3,0,Michael Vick pass incomplete intended for Alge Crumpler,2.590,2.040
1,8:51,2,10,DET 45,3,0,Warrick Dunn right end for 4 yards (tackle by Donte Curry),2.040,1.880
1,8:13,3,6,DET 41,3,0,Michael Vick pass complete to Warrick Dunn for no gain,1.880,0.530
1,7:34,4,6,DET 41,3,0,"Michael Koenen punts 41 yards, touchback",0.530,-0.280
1,7:27,1,10,DET 20,3,0,Joey Harrington pass incomplete intended for Marcus Pollard (defended by Michael Boley),0.280,-0.270
1,7:22,2,10,DET 20,3,0,Shawn Bryson left end for 7 yards (tackle by Keith Brooking),-0.270,-0.030
1,6:42,3,3,DET 27,3,0,Joey Harrington pass complete to Mike Williams for 15 yards (tackle by Demorrio Williams),-0.030,1.730
1,5:55,1,10,DET 42,3,0,Joey Harrington pass incomplete intended for Marcus Pollard,1.730,1.190
1,5:49,2,10,DET 42,3,0,Kevin Jones left end for 5 yards (tackle by Bryan Scott),1.190,1.160
1,5:22,3,5,DET 47,3,0,"Joey Harrington pass complete to Shawn Bryson for -5 yards. Shawn Bryson fumbles (forced by Antwan Lake), recovered by Chauncey Davis at DET-42 (tackle by Kelly Butler)",1.160,-2.790
1,5:13,1,10,DET 42,3,0,Michael Vick pass complete to Justin Griffith for 17 yards (tackle by Donte Curry),2.790,3.910
1,4:34,1,10,DET 25,3,0,Michael Vick pass incomplete intended for Alge Crumpler,3.910,3.360
1,4:28,2,10,DET 25,3,0,T.J. Duckett right tackle for 5 yards (tackle by Dan Wilkinson),3.360,3.340
1,3:49,3,5,DET 20,3,0,Michael Vick pass complete to Alge Crumpler for 6 yards (tackle by R.W. McQuarters and Nate Wayne),3.340,4.650
1,3:10,1,10,DET 14,3,0,Michael Vick pass complete to Alge Crumpler for 4 yards (tackle by Kenoy Kennedy),4.650,4.710
1,2:36,2,6,DET 10,3,0,"Penalty on James Hall: Neutral Zone Infraction, 5 yards (no play)",4.710,5.670
1,2:12,2,1,DET 5,3,0,"Penalty on Shaun Rogers: Encroachment, 2 yards (no play)",5.670,6.510
1,1:55,1,3,DET 3,3,0,T.J. Duckett right tackle for 2 yards (tackle by Donte Curry),6.510,5.910
1,1:18,2,1,DET 1,3,0,Michael Vick pass complete to Justin Griffith for no gain,5.910,5.170
,,,,,,,"DET challenged the ruling, and the original play was overturned.",,
1,0:56,3,1,DET 1,9,0,"T.J. Duckett left tackle for 1 yard, touchdown",5.170,7.000
1,,,,DET 2,10,0,Todd Peterson kicks extra point good,0.000,0.000
1,,,,ATL 30,10,0,"Michael Koenen kicks off 69 yards, returned by Eddie Drummond for 22 yards (tackle by Ike Reese)",0.000,0.480
1,0:45,1,10,DET 23,10,0,Kevin Jones up the middle for 1 yard (tackle by Antwan Lake),0.480,0.070
1,0:03,2,9,DET 24,10,0,Joey Harrington pass complete to Scottie Vines for 19 yards (tackle by Jason Webster and Keion Carpenter),0.070,1.800
Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 43,10,0,Joey Harrington pass incomplete intended for Roy Williams,1.800,1.250
2,14:55,2,10,DET 43,10,0,Joey Harrington pass incomplete intended for Scottie Vines,1.250,0.560
2,14:50,3,10,DET 43,10,0,"Penalty on Kevin Jones: False Start, 5 yards (no play)",0.560,-0.100
2,14:50,3,15,DET 38,10,0,Joey Harrington pass incomplete intended for Mike Williams (defended by Bryan Scott),-0.100,-0.850
2,14:44,4,15,DET 38,10,0,"Nick Harris punts 29 yards, out of bounds. Penalty on Kenoy Kennedy: Offensive Holding, 10 yards (no play)",-0.850,-1.500
2,14:36,4,25,DET 28,10,0,"Nick Harris punts 57 yards, returned by Allen Rossum for 25 yards (tackle by Eddie Drummond)",-1.500,-1.600
2,14:21,1,10,ATL 40,10,0,Warrick Dunn left end for 8 yards (tackle by Donte Curry),1.600,2.130
2,13:44,2,2,ATL 48,10,0,Warrick Dunn left tackle for 25 yards (tackle by Kenoy Kennedy),2.130,3.780
2,13:00,1,10,DET 27,10,0,Michael Vick pass incomplete intended for Brian Finneran (defended by Dre' Bly),3.780,3.230
2,12:53,2,10,DET 27,10,0,Warrick Dunn up the middle for no gain (tackle by Nate Wayne and Boss Bailey),3.230,2.540
2,12:13,3,10,DET 27,10,0,Michael Vick left end for 19 yards (tackle by Kenoy Kennedy),2.540,5.370
