Quarter,Time,Tm,Detail,BAL,NWE
1.0,5:49,Patriots,Stephen Gostkowski 29 yard field goal,0,3
2.0,14:21,Ravens,Billy Cundiff 20 yard field goal,3,3
,10:35,Patriots,BenJarvus Green-Ellis 7 yard rush (Stephen Gostkowski kick),3,10
,6:03,Ravens,Dennis Pitta 6 yard pass from Joe Flacco (Billy Cundiff kick),10,10
,3:00,Patriots,Stephen Gostkowski 35 yard field goal,10,13
3.0,9:06,Patriots,Stephen Gostkowski 24 yard field goal,10,16
,3:38,Ravens,Torrey Smith 29 yard pass from Joe Flacco (Billy Cundiff kick),17,16
,0:50,Ravens,Billy Cundiff 39 yard field goal,20,16
4.0,11:29,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),20,23
