Unnamed: 0,JAX,MIN
First Downs,18,24
Rush-Yds-TDs,27-154-0,30-112-1
Cmp-Att-Yd-TD-INT,19-34-235-1-0,19-27-235-1-1
Sacked-Yards,2-10,4-17
Net Pass Yards,225,218
Total Yards,379,330
Fumbles-Lost,3-2,1-1
Turnovers,2,2
Penalties-Yards,6-45,4-35
Third Down Conv.,7-15,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,31:17,28:43
