Quarter,Time,Tm,Detail,JAX,MIN
1.0,6:32,Vikings,Morten Andersen 25 yard field goal,0,3
2.0,13:39,Jaguars,Brian Jones 26 yard pass from Byron Leftwich (Josh Scobee kick),7,3
,11:23,Jaguars,Josh Scobee 33 yard field goal,10,3
,6:15,Vikings,Daunte Culpepper 1 yard rush (Morten Andersen kick),10,10
,1:09,Jaguars,Josh Scobee 32 yard field goal,13,10
,0:00,Vikings,Morten Andersen 33 yard field goal,13,13
3.0,5:34,Vikings,Randy Moss 2 yard pass from Daunte Culpepper (Morten Andersen kick),13,20
4.0,13:28,Jaguars,Josh Scobee 42 yard field goal,16,20
,1:59,Vikings,Kevin Williams 77 yard defensive fumble return (Morten Andersen kick),16,27
