Unnamed: 0,PHI,TAM
First Downs,27,12
Rush-Yds-TDs,40-201-1,17-41-0
Cmp-Att-Yd-TD-INT,23-37-277-1-2,15-25-146-1-1
Sacked-Yards,1-6,2-13
Net Pass Yards,271,133
Total Yards,472,174
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,3-20,4-20
Third Down Conv.,10-16,5-10
Fourth Down Conv.,2-3,0-0
Time of Possession,38:55,21:05
