Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 49 yards, muffed catch by Dylan Gandy, recovered by Dylan Gandy at DET-17, and returned for 5 yards",0.000,-0.410
1,14:56,1,10,DET 22,0,0,Matthew Stafford pass incomplete short right intended for Reggie Bush,0.410,-0.130
1,14:52,2,10,DET 22,0,0,Reggie Bush right tackle for 1 yard (tackle by Haloti Ngata),-0.130,-0.690
1,14:14,3,9,DET 23,0,0,Matthew Stafford pass complete short right to Joique Bell for 23 yards (tackle by Matt Elam),-0.690,1.990
1,13:36,1,10,DET 46,0,0,Reggie Bush left tackle for 1 yard (tackle by Corey Graham),1.990,1.590
1,13:01,2,9,DET 47,0,0,Joique Bell right end for 2 yards (tackle by Elvis Dumervil),1.590,1.160
1,12:19,3,7,DET 49,0,0,"Matthew Stafford right guard for 5 yards (tackle by Daryl Smith and Matt Elam). Penalty on Matt Elam: Unnecessary Roughness, 15 yards",1.160,3.510
1,11:49,1,10,BAL 31,0,0,Matthew Stafford pass complete short left to Nate Burleson for 17 yards (tackle by Jimmy Smith),3.510,4.650
1,11:03,1,10,BAL 14,0,6,"Reggie Bush left end for 14 yards, touchdown",4.650,7.000
1,11:03,,,BAL 2,0,7,David Akers kicks extra point good,0.000,0.000
1,11:03,,,DET 35,0,7,"David Akers kicks off 73 yards, returned by Jacoby Jones for 24 yards (tackle by Ashlee Palmer)",0.000,0.140
1,10:53,1,10,BAL 16,0,7,Joe Flacco right end for 6 yards (tackle by Jonte Green),-0.140,0.280
1,10:12,2,4,BAL 22,0,7,Ray Rice right tackle for no gain (tackle by Nick Fairley),0.280,-0.570
1,9:34,3,4,BAL 22,0,7,Joe Flacco pass complete short middle to Torrey Smith for 3 yards (tackle by Stephen Tulloch),-0.570,-1.700
1,8:58,4,1,BAL 25,0,7,"Sam Koch punts 51 yards, returned by Jeremy Ross for 7 yards (tackle by Anthony Levine). Penalty on Rocky McIntosh: Offensive Holding, 10 yards",-1.700,0.280
1,8:45,1,10,DET 14,0,7,Reggie Bush left tackle for 19 yards (tackle by Jimmy Smith),-0.280,1.140
1,8:09,1,10,DET 33,0,7,"Penalty on Terrell Suggs: Neutral Zone Infraction, 5 yards (no play)",1.140,1.870
1,7:49,1,5,DET 38,0,7,Joique Bell right end for 7 yards (tackle by Jimmy Smith),1.870,1.930
1,7:11,1,10,DET 45,0,7,Matthew Stafford pass complete short right to Reggie Bush for 6 yards (tackle by Jameel McClain and Chris Canty),1.930,2.190
