Unnamed: 0,BAL,DET
First Downs,18,19
Rush-Yds-TDs,21-90-0,28-119-1
Cmp-Att-Yd-TD-INT,20-38-222-0-0,18-34-235-1-3
Sacked-Yards,1-7,1-5
Net Pass Yards,215,230
Total Yards,305,349
Fumbles-Lost,1-0,0-0
Turnovers,0,3
Penalties-Yards,7-60,8-89
Third Down Conv.,4-14,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:35,32:25
