Unnamed: 0,WAS,DAL
First Downs,23,21
Rush-Yds-TDs,27-108-1,18-100-1
Cmp-Att-Yd-TD-INT,28-44-300-0-1,22-32-331-4-0
Sacked-Yards,4-32,0-0
Net Pass Yards,268,331
Total Yards,376,431
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,4-25,7-48
Third Down Conv.,7-15,6-10
Fourth Down Conv.,0-3,0-0
Time of Possession,36:54,23:06
