Quarter,Time,Tm,Detail,SFO,NYJ
2.0,13:37,49ers,Colin Kaepernick 7 yard rush (David Akers kick),7,0
,0:00,49ers,David Akers 36 yard field goal,10,0
3.0,2:49,49ers,Frank Gore 2 yard rush (David Akers kick),17,0
4.0,14:46,49ers,Carlos Rogers 51 yard defensive fumble return (David Akers kick),24,0
,8:23,49ers,David Akers 40 yard field goal,27,0
,6:03,49ers,Kendall Hunter 1 yard rush (David Akers kick),34,0
