Unnamed: 0,SFO,NYJ
First Downs,26,9
Rush-Yds-TDs,44-247-3,17-45-0
Cmp-Att-Yd-TD-INT,12-22-143-0-0,14-30-112-0-1
Sacked-Yards,2-9,3-12
Net Pass Yards,134,100
Total Yards,381,145
Fumbles-Lost,2-0,3-3
Turnovers,0,4
Penalties-Yards,8-67,4-30
Third Down Conv.,4-12,2-13
Fourth Down Conv.,1-1,0-0
Time of Possession,36:56,23:04
