Quarter,Time,Down,ToGo,Location,SFO,NYJ,Detail,EPB,EPA
1,4:42,1,10,NYJ 3,0,0,Shonn Greene right guard for 1 yard (tackle by Patrick Willis),-0.380,-0.710
1,4:03,2,9,NYJ 4,0,0,Shonn Greene right end for 5 yards (tackle by Patrick Willis and Donte Whitner),-0.710,-0.720
1,3:20,3,4,NYJ 9,0,0,Mark Sanchez pass incomplete short left intended for Santonio Holmes,-0.720,-2.490
1,3:17,4,4,NYJ 9,0,0,"Robert Malone punts 54 yards, returned by Ted Ginn Jr. for 9 yards (tackle by Tanner Purdum). Penalty on Anthony Dixon: Illegal Block Above the Waist, 10 yards",-2.490,-1.070
1,3:04,1,10,SFO 32,0,0,Alex Smith pass complete short middle to Frank Gore for 5 yards (tackle by Garrett McIntyre),1.070,1.200
1,2:24,2,5,SFO 37,0,0,Alex Smith for 9 yards,1.200,1.990
1,1:48,1,10,SFO 46,0,0,Frank Gore up the middle for 4 yards (tackle by Kenrick Ellis),1.990,1.990
1,1:11,2,6,,0,0,Mario Manningham right end for 28 yards (tackle by David Harris),1.990,4.110
1,0:31,1,10,NYJ 22,0,0,Kendall Hunter left end for 11 yards (tackle by LaRon Landry),4.110,4.840
Quarter,Time,Down,ToGo,Location,SFO,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 11,0,0,Alex Smith pass incomplete short right intended for Michael Crabtree,4.840,4.140
2,14:54,2,10,NYJ 11,0,0,Kyle Williams right end for 9 yards (tackle by Bart Scott),4.140,5.120
2,14:07,3,1,NYJ 2,0,0,"Penalty on Leonard Davis: False Start, 5 yards (no play)",5.120,3.980
2,13:43,3,6,NYJ 7,6,0,"Colin Kaepernick left end for 7 yards, touchdown",3.980,7.000
2,13:43,,,NYJ 2,7,0,David Akers kicks extra point good,0.000,0.000
2,13:37,,,SFO 35,7,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
2,13:37,1,10,NYJ 20,7,0,Mark Sanchez pass incomplete short right intended for John Conner (defended by Patrick Willis),0.280,-0.270
2,13:28,2,10,NYJ 20,7,0,Mark Sanchez pass complete short right to Chaz Schilens for 9 yards (tackle by Donte Whitner),-0.270,0.230
2,12:48,3,1,NYJ 29,7,0,Shonn Greene up the middle for 1 yard (tackle by Patrick Willis and Navorro Bowman),0.230,0.940
2,12:05,1,10,NYJ 30,7,0,Mark Sanchez pass complete short left to Santonio Holmes for 6 yards (tackle by Carlos Rogers),0.940,1.200
2,11:35,2,4,NYJ 36,7,0,Bilal Powell left tackle for 3 yards (tackle by Aldon Smith and Patrick Willis),1.200,0.890
2,10:51,3,1,NYJ 39,7,0,"Tim Tebow pass complete short right to Dedrick Epps for 9 yards (tackle by Dashon Goldson). Dedrick Epps fumbles (forced by Dashon Goldson), recovered by Carlos Rogers at NYJ-48 and returned for 1 yards (tackle by Bilal Powell)",0.890,-2.460
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,10:39,1,10,NYJ 47,7,0,Alex Smith pass complete short right to Bruce Miller for 9 yards (tackle by Kyle Wilson),2.460,3.130
2,9:51,2,1,NYJ 38,7,0,Alex Smith pass complete short left to Mario Manningham for 9 yards (tackle by Kyle Wilson),3.130,0.000
2,9:17,,,,7,0,Timeout #1 by San Francisco 49ers,0.000,3.640
2,9:17,1,10,NYJ 29,7,0,Frank Gore left end for 1 yard (tackle by Kyle Wilson and David Harris),3.640,3.240
2,8:37,2,9,NYJ 28,7,0,Alex Smith sacked by Bryan Thomas for -4 yards,3.240,2.020
2,7:57,3,13,NYJ 32,7,0,Alex Smith sacked by Calvin Pace for -5 yards,2.020,0.790
2,7:28,4,18,NYJ 37,7,0,David Akers 55 yard field goal no good,0.790,-1.930
2,7:22,1,10,NYJ 45,7,0,Shonn Greene left guard for 4 yards (tackle by Justin Smith),1.930,1.920
2,6:48,2,6,NYJ 49,7,0,Shonn Greene left guard for 5 yards (tackle by Justin Smith and Donte Whitner),1.920,0.000
2,6:12,,,,7,0,Timeout #1 by New York Jets,0.000,1.880
2,6:12,3,1,SFO 46,7,0,Mark Sanchez sacked by Ahmad Brooks for -6 yards,1.880,-0.190
2,5:44,4,7,NYJ 48,7,0,"Robert Malone punts 41 yards, fair catch by Ted Ginn Jr.",-0.190,0.370
2,5:36,1,10,SFO 11,7,0,Frank Gore up the middle for 6 yards (tackle by Yeremiah Bell and Mike DeVito),-0.370,-0.160
2,4:59,2,4,SFO 17,7,0,Frank Gore left guard for 6 yards (tackle by LaRon Landry and Bart Scott),-0.160,0.480
2,4:19,1,10,SFO 23,7,0,Frank Gore right tackle for -1 yards (tackle by Quinton Coples),0.480,0.000
2,3:45,,,,7,0,Timeout #2 by New York Jets,0.000,-0.200
2,3:44,2,11,SFO 22,7,0,Alex Smith pass complete short right to Michael Crabtree for 3 yards (tackle by Bart Scott),-0.200,-0.490
2,3:01,3,8,SFO 25,7,0,"Alex Smith pass incomplete deep left intended for Michael Crabtree. Penalty on Anthony Davis: Unnecessary Roughness, 12 yards",-0.490,-2.490
2,2:57,4,20,SFO 13,7,0,"Andy Lee punts 34 yards, out of bounds",-2.490,-2.460
2,2:49,1,10,SFO 47,7,0,Mark Sanchez pass complete short middle to Jeremy Kerley for 4 yards (tackle by Patrick Willis),2.460,2.450
2,2:49,2,6,SFO 43,7,0,Mark Sanchez pass incomplete short middle intended for Santonio Holmes (defended by Dashon Goldson),2.450,1.750
2,2:01,3,6,SFO 43,7,0,"Mark Sanchez pass incomplete short middle intended for Patrick Turner. Penalty on Aldon Smith: Unnecessary Roughness, 15 yards",1.750,3.710
2,1:57,1,10,SFO 28,7,0,Bilal Powell left guard for 3 yards (tackle by Navorro Bowman and Patrick Willis),3.710,3.570
2,1:26,2,7,SFO 25,7,0,Mark Sanchez pass incomplete short left intended for Jeremy Kerley (defended by Justin Smith),3.570,2.870
2,1:22,3,7,SFO 25,7,0,"Mark Sanchez sacked by Aldon Smith for 0 yards. Mark Sanchez fumbles (forced by Aldon Smith), recovered by Justin Smith at SFO-26",2.870,-0.670
2,1:11,1,10,SFO 26,7,0,Alex Smith pass complete short left to Vernon Davis for 23 yards (tackle by LaRon Landry),0.670,2.190
2,1:05,1,10,SFO 49,7,0,"Alex Smith pass complete short right to Michael Crabtree for 6 yards (tackle by Kyle Wilson and David Harris). Penalty on Antonio Cromartie: Illegal Contact, 5 yards (no play)",2.190,2.520
2,0:59,1,10,NYJ 46,7,0,Alex Smith pass complete short left to Frank Gore for 8 yards (tackle by Ellis Lankster and Muhammad Wilkerson),2.520,3.060
2,0:34,2,2,NYJ 38,7,0,Alex Smith pass complete short left to Vernon Davis for 5 yards (tackle by Ellis Lankster),3.060,3.380
2,0:31,1,10,NYJ 33,7,0,Alex Smith pass complete short right to Michael Crabtree for 12 yards (tackle by Demario Davis),3.380,0.000
2,0:23,,,,7,0,Timeout #2 by San Francisco 49ers,0.000,4.170
2,0:23,1,10,NYJ 21,7,0,Alex Smith left end for 3 yards (tackle by Aaron Maybin),4.170,0.000
2,0:03,,,,7,0,Timeout #3 by San Francisco 49ers,0.000,4.040
2,0:02,2,7,NYJ 18,10,0,David Akers 36 yard field goal good,4.040,3.000
Quarter,Time,Down,ToGo,Location,SFO,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,10,0,"David Akers kicks off 73 yards, returned by Joe McKnight for 29 yards (tackle by Tavares Gooden)",0.000,0.340
3,14:55,1,10,NYJ 21,10,0,Shonn Greene left guard for 2 yards (tackle by Patrick Willis and Navorro Bowman),0.340,0.070
3,14:18,2,8,NYJ 23,10,0,Mark Sanchez pass complete short left to Jeff Cumberland for 9 yards (tackle by Donte Whitner and Patrick Willis),0.070,1.070
3,13:52,1,10,NYJ 32,10,0,Mark Sanchez pass complete short left to Chaz Schilens for 14 yards (tackle by Chris Culliver),1.070,1.990
3,13:25,1,10,NYJ 46,10,0,Mark Sanchez pass incomplete is intercepted by Patrick Willis at NYJ-41,1.990,-2.850
3,13:19,1,10,NYJ 41,10,0,Kendall Hunter left tackle for 12 yards (tackle by LaRon Landry),2.850,3.640
3,12:40,1,10,NYJ 29,10,0,Frank Gore right guard for 4 yards (tackle by Sione Pouha),3.640,3.640
3,11:55,2,6,NYJ 25,10,0,Frank Gore left end for 3 yards (tackle by Mike DeVito),3.640,3.340
3,11:22,3,3,NYJ 22,10,0,Alex Smith pass incomplete short right intended for Delanie Walker,3.340,2.090
3,11:17,4,3,NYJ 22,10,0,David Akers 40 yard field goal no good,2.090,-0.940
3,11:13,1,10,NYJ 30,10,0,Shonn Greene right tackle for 3 yards (tackle by Ahmad Brooks and Patrick Willis),0.940,0.800
3,10:29,2,7,NYJ 33,10,0,Mark Sanchez pass incomplete deep middle intended for Jeff Cumberland (defended by Navorro Bowman),0.800,0.100
3,10:23,3,7,NYJ 33,10,0,Mark Sanchez pass incomplete deep right intended for Santonio Holmes,0.100,-1.180
3,10:19,4,7,NYJ 33,10,0,"Robert Malone punts 41 yards, returned by Ted Ginn Jr. for 14 yards (tackle by Josh Mauga)",-1.180,-1.600
3,10:11,1,10,SFO 40,10,0,Alex Smith pass incomplete short right intended for Delanie Walker,1.600,1.050
3,10:05,2,10,SFO 40,10,0,Alex Smith pass complete short right to Delanie Walker for 6 yards (tackle by Kyle Wilson and David Harris),1.050,1.160
3,9:25,3,4,SFO 46,10,0,Kendall Hunter right tackle for 8 yards (tackle by LaRon Landry),1.160,2.520
3,8:50,1,10,NYJ 46,10,0,"Frank Gore for -2 yards (tackle by Calvin Pace and Kenrick Ellis). Frank Gore fumbles (forced by Calvin Pace), recovered by Frank Gore at NYJ-48",2.520,1.710
3,8:09,2,12,NYJ 48,10,0,Frank Gore right guard for -1 yards (tackle by Quinton Coples),1.710,0.890
3,7:31,3,13,NYJ 49,10,0,Alex Smith pass incomplete deep right intended for Mario Manningham,0.890,0.000
3,7:19,4,13,NYJ 49,10,0,Andy Lee punts 47 yards,0.000,0.380
3,7:13,1,10,NYJ 2,10,0,Bilal Powell left guard for 2 yards (tackle by Justin Smith and Navorro Bowman),-0.380,-0.630
3,6:35,2,8,NYJ 4,10,0,Mark Sanchez pass incomplete short middle intended for Bilal Powell,-0.630,-1.190
3,6:31,3,8,NYJ 4,10,0,Mark Sanchez pass incomplete short right intended for Bilal Powell,-1.190,-2.490
3,6:18,4,8,NYJ 4,10,0,"Robert Malone punts 45 yards, returned by Ted Ginn Jr. for 1 yard (tackle by Demario Davis)",-2.490,-2.390
3,6:15,1,10,NYJ 48,10,0,Alex Smith pass complete short right to Mario Manningham for 12 yards (tackle by David Harris),2.390,3.180
3,5:40,1,10,NYJ 36,10,0,Alex Smith pass complete deep left to Delanie Walker for 25 yards (tackle by Antonio Cromartie),3.180,4.840
3,4:58,1,10,NYJ 11,10,0,Bruce Miller left guard for 5 yards (tackle by Bart Scott),4.840,5.080
3,4:17,2,5,NYJ 6,10,0,Frank Gore left guard for 4 yards (tackle by Muhammad Wilkerson and Garrett McIntyre),5.080,5.120
3,3:38,3,1,NYJ 2,10,0,Frank Gore left guard for no gain (tackle by Muhammad Wilkerson and Kenrick Ellis),5.120,3.250
3,2:55,4,1,NYJ 2,16,0,"Frank Gore left guard for 2 yards, touchdown",3.250,7.000
3,2:55,,,NYJ 2,17,0,David Akers kicks extra point good,0.000,0.000
3,2:49,,,SFO 35,17,0,"David Akers kicks off 73 yards, returned by Joe McKnight for 44 yards (tackle by Perrish Cox)",0.000,1.330
3,2:42,1,10,NYJ 36,17,0,Shonn Greene right guard for 3 yards (tackle by Navorro Bowman and Ray McDonald),1.330,1.200
3,2:05,2,7,NYJ 39,17,0,Mark Sanchez pass complete short left to Santonio Holmes for 8 yards (tackle by Carlos Rogers and Navorro Bowman),1.200,2.060
3,1:26,1,10,NYJ 47,17,0,Mark Sanchez pass incomplete deep middle intended for Santonio Holmes (defended by Dashon Goldson),2.060,1.520
3,1:17,2,10,NYJ 47,17,0,Mark Sanchez pass complete short left to Jeff Cumberland for 6 yards (tackle by Patrick Willis),1.520,1.620
3,0:35,3,4,SFO 47,17,0,"Mark Sanchez sacked by Ray McDonald for 0 yards. Penalty on Carlos Rogers: Illegal Use of Hands, 5 yards (no play)",1.620,2.790
3,0:04,1,10,SFO 42,17,0,Tim Tebow left end for -2 yards (tackle by Aldon Smith),2.790,1.970
Quarter,Time,Down,ToGo,Location,SFO,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,SFO 44,23,0,"Mark Sanchez pass complete short right to Santonio Holmes for 4 yards. Santonio Holmes fumbles, recovered by Carlos Rogers at SFO-49 and returned for 51 yards, touchdown",1.970,-7.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
4,,,,NYJ 2,24,0,David Akers kicks extra point good,0.000,0.000
4,14:46,,,SFO 35,24,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
4,14:46,1,10,NYJ 20,24,0,Mark Sanchez pass incomplete short middle intended for Bilal Powell,0.280,-0.270
4,14:42,2,10,NYJ 20,24,0,Mark Sanchez pass complete short middle to Jeremy Kerley for 8 yards (tackle by Carlos Rogers),-0.270,0.100
4,13:59,3,2,NYJ 28,24,0,Mark Sanchez pass complete short right to Jeff Cumberland for -3 yards (tackle by Dashon Goldson and Donte Whitner),0.100,-1.700
4,13:28,4,5,NYJ 25,24,0,"Robert Malone punts 43 yards, fair catch by Ted Ginn Jr.",-1.700,-1.070
4,13:21,1,10,SFO 32,24,0,Kendall Hunter left end for 13 yards (tackle by Antonio Cromartie),1.070,1.930
4,12:50,1,10,SFO 45,24,0,Frank Gore right tackle for 2 yards (tackle by David Harris and Calvin Pace),1.930,1.650
4,12:09,2,8,SFO 47,24,0,Frank Gore left guard for 11 yards (tackle by Yeremiah Bell),1.650,2.790
4,11:23,1,10,NYJ 42,24,0,Frank Gore right tackle for 2 yards (tackle by Kenrick Ellis and Calvin Pace),2.790,2.510
4,10:39,2,8,NYJ 40,24,0,Ted Ginn Jr. left end for 7 yards (tackle by Antonio Cromartie),2.510,2.740
4,10:14,3,1,NYJ 33,24,0,Frank Gore right tackle for 2 yards (tackle by David Harris),2.740,3.510
4,9:26,1,10,NYJ 31,24,0,Kendall Hunter left end for 9 yards (tackle by David Harris),3.510,0.000
4,8:36,,,,24,0,Timeout #1 by San Francisco 49ers,0.000,4.180
4,8:36,2,1,NYJ 22,24,0,Alex Smith pass incomplete deep right intended for Michael Crabtree (defended by Antonio Cromartie),4.180,3.470
4,8:31,3,1,NYJ 22,24,0,Alex Smith pass incomplete short right intended for Michael Crabtree (defended by Antonio Cromartie),3.470,2.140
4,8:27,4,1,NYJ 22,27,0,David Akers 40 yard field goal good,2.140,3.000
4,8:23,,,SFO 35,27,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
4,8:23,1,10,NYJ 20,27,0,"Mark Sanchez sacked by Aldon Smith for -6 yards. Penalty on Tarell Brown: Defensive Holding, 5 yards (no play)",0.280,0.610
4,7:58,1,10,NYJ 25,27,0,Mark Sanchez pass incomplete short right intended for Patrick Turner,0.610,0.060
4,7:54,2,10,NYJ 25,27,0,Mark Sanchez pass incomplete short right intended for Patrick Turner,0.060,-0.620
4,7:49,3,10,NYJ 25,27,0,Mark Sanchez pass incomplete short left intended for Patrick Turner,-0.620,-1.700
4,7:43,4,10,NYJ 25,27,0,"Robert Malone punts, blocked by Larry Grant",-1.700,-6.280
4,7:35,1,4,NYJ 4,27,0,Kendall Hunter left tackle for 2 yards (tackle by David Harris),6.280,5.720
4,6:52,2,2,NYJ 2,27,0,Kendall Hunter left guard for no gain (tackle by Sione Pouha),5.720,4.950
4,6:52,3,2,NYJ 2,27,0,"Alex Smith pass incomplete. Penalty on Bart Scott: Defensive Holding, 1 yards (no play)",4.950,6.970
4,6:06,1,1,NYJ 1,33,0,"Kendall Hunter left guard for 1 yard, touchdown",6.970,7.000
4,6:06,,,NYJ 2,34,0,David Akers kicks extra point good,0.000,0.000
4,6:03,,,SFO 35,34,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
4,6:03,1,10,NYJ 20,34,0,Bilal Powell up the middle for 3 yards (tackle by Tavares Gooden),0.280,0.140
4,5:23,2,7,NYJ 23,34,0,Mark Sanchez pass incomplete short right intended for Patrick Turner,0.140,-0.560
4,5:19,3,7,NYJ 23,34,0,Mark Sanchez pass complete short left to Jeff Cumberland for 5 yards (tackle by C.J. Spillman),-0.560,-1.500
4,4:43,4,2,NYJ 28,34,0,"Robert Malone punts 42 yards, returned by Ted Ginn Jr. for 20 yards (tackle by Ellis Lankster). Ted Ginn Jr. fumbles (forced by Ellis Lankster), recovered by Anthony Dixon at NYJ-49 (tackle by Tim Tebow)",-1.500,-2.320
4,4:28,1,10,NYJ 49,34,0,Anthony Dixon right tackle for 7 yards (tackle by Yeremiah Bell),2.320,2.730
4,3:46,2,3,NYJ 42,34,0,Anthony Dixon left guard for 3 yards (tackle by David Harris),2.730,2.980
4,3:06,1,10,NYJ 39,34,0,Anthony Dixon right guard for 3 yards (tackle by LaRon Landry),2.980,2.850
4,2:25,2,7,NYJ 36,34,0,Anthony Dixon left end for 3 yards (tackle by David Harris),2.850,2.540
4,2:00,3,4,NYJ 33,34,0,Colin Kaepernick right end for 30 yards,2.540,6.510
4,1:12,1,3,NYJ 3,34,0,Colin Kaepernick kneels for -2 yards,6.510,5.150
4,1:12,2,5,NYJ 5,34,0,Colin Kaepernick kneels for -2 yards,5.150,3.810
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
