Quarter,Time,Tm,Detail,JAX,MIA
1.0,10:03,Jaguars,Josh Scobee 37 yard field goal,3,0
,6:26,Dolphins,Dan Carpenter 53 yard field goal,3,3
2.0,1:56,Dolphins,Jorvorskie Lane 4 yard pass from Ryan Tannehill (Dan Carpenter kick),3,10
3.0,5:35,Dolphins,Dan Carpenter 30 yard field goal,3,13
,1:01,Dolphins,Dan Carpenter 31 yard field goal,3,16
4.0,3:12,Dolphins,Anthony Fasano 2 yard pass from Ryan Tannehill (Anthony Fasano pass from Ryan Tannehill),3,24
