Unnamed: 0,JAX,MIA
First Downs,13,26
Rush-Yds-TDs,21-86-0,36-180-0
Cmp-Att-Yd-TD-INT,18-34-221-0-0,22-29-220-2-0
Sacked-Yards,2-8,1-11
Net Pass Yards,213,209
Total Yards,299,389
Fumbles-Lost,2-0,1-1
Turnovers,0,1
Penalties-Yards,10-88,5-41
Third Down Conv.,6-15,6-11
Fourth Down Conv.,0-3,0-1
Time of Possession,24:22,35:38
