Unnamed: 0,JAX,PIT
First Downs,20,17
Rush-Yds-TDs,30-106-0,18-70-0
Cmp-Att-Yd-TD-INT,24-32-292-1-1,25-43-211-1-2
Sacked-Yards,3-21,3-20
Net Pass Yards,271,191
Total Yards,377,261
Fumbles-Lost,2-2,2-0
Turnovers,3,2
Penalties-Yards,6-72,6-52
Third Down Conv.,6-13,3-12
Fourth Down Conv.,0-0,0-2
Time of Possession,34:16,25:44
