Quarter,Time,Tm,Detail,JAX,PIT
1.0,10:47,Jaguars,Brandon McManus 50 yard field goal,3,0
,5:54,Jaguars,Brandon McManus 51 yard field goal,6,0
2.0,3:59,Steelers,Chris Boswell 22 yard field goal,6,3
,1:04,Jaguars,Brandon McManus 38 yard field goal,9,3
3.0,5:05,Jaguars,Travis Etienne 56 yard pass from Trevor Lawrence (Travis Etienne run),17,3
,0:53,Steelers,George Pickens 22 yard pass from Mitchell Trubisky (Chris Boswell kick),17,10
4.0,4:35,Jaguars,Brandon McManus 37 yard field goal,20,10
