Unnamed: 0,ARI,SEA
First Downs,17,20
Rush-Yds-TDs,20-65-0,36-146-2
Cmp-Att-Yd-TD-INT,24-38-231-1-1,12-27-221-1-2
Sacked-Yards,5-40,3-26
Net Pass Yards,191,195
Total Yards,256,341
Fumbles-Lost,5-1,1-0
Turnovers,2,2
Penalties-Yards,11-66,7-73
Third Down Conv.,6-14,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:07,31:53
