Quarter,Time,Down,ToGo,Location,MIN,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 70 yards, returned by Percy Harvin for 25 yards (tackle by Jalil Brown)",0.000,0.280
1,14:54,1,10,MIN 20,0,0,Donovan McNabb pass complete short left to Percy Harvin for 6 yards (tackle by Brandon Carr),0.280,0.540
1,14:18,2,4,MIN 26,0,0,Donovan McNabb pass complete short right to Percy Harvin for -1 yards (tackle by Justin Houston),0.540,-0.300
1,13:34,3,5,MIN 25,0,0,Donovan McNabb pass incomplete short right intended for Bernard Berrian,-0.300,-1.700
1,13:28,4,5,MIN 25,0,0,"Chris Kluwe punts 51 yards, returned by Javier Arenas for 33 yards (tackle by Larry Dean)",-1.700,-2.720
1,13:12,1,10,MIN 43,0,0,Dexter McCluster right end for -3 yards (tackle by Antoine Winfield),2.720,1.770
1,12:41,2,13,MIN 46,0,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe (defended by Cedric Griffin),1.770,1.090
1,12:35,3,13,MIN 46,0,0,"Matt Cassel sacked by Everson Griffen for -7 yards. Penalty on Everson Griffen: Face Mask (15 Yards), 15 yards",1.090,3.050
1,12:14,1,10,MIN 38,0,0,Dexter McCluster left end for 2 yards (tackle by Jamarca Sanford),3.050,2.780
1,11:39,2,8,MIN 36,0,0,Matt Cassel up the middle for 2 yards (tackle by Brian Robison),2.780,2.340
1,10:59,3,6,MIN 34,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 10 yards (tackle by Chris Cook),2.340,3.970
1,10:23,1,10,MIN 24,0,0,Thomas Jones up the middle for 1 yard (tackle by Cedric Griffin),3.970,3.570
1,9:51,2,9,MIN 23,0,0,Thomas Jones left tackle for 12 yards (tackle by Husain Abdullah),3.570,4.840
1,9:12,1,10,MIN 11,0,0,"Jackie Battle right end for no gain (tackle by E.J. Henderson). Penalty on Branden Albert: Face Mask (15 Yards), 15 yards, Penalty on Terrance Copper: Offensive Holding (Declined) (no play)",4.840,3.840
1,8:45,1,25,MIN 26,0,0,Matt Cassel pass complete short right to Steve Breaston for 6 yards (tackle by E.J. Henderson),3.840,3.070
1,8:09,2,19,MIN 20,0,0,Le'Ron McClain up the middle for -2 yards (tackle by Kevin Williams),3.070,2.150
1,7:25,3,21,MIN 22,0,0,Matt Cassel pass incomplete short middle intended for Steve Breaston,2.150,1.990
1,7:21,4,21,MIN 22,0,3,Ryan Succop 40 yard field goal good,1.990,3.000
1,,,,KAN 35,0,3,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,7:16,1,10,MIN 20,0,3,Adrian Peterson right guard for 4 yards (tackle by Jovan Belcher),0.280,0.270
1,6:47,2,6,MIN 24,0,3,Adrian Peterson right guard for 3 yards (tackle by Jovan Belcher),0.270,-0.030
1,6:10,3,3,MIN 27,0,3,Donovan McNabb pass complete short right to Visanthe Shiancoe for 6 yards (tackle by Donald Washington),-0.030,1.140
1,5:31,1,10,MIN 33,0,3,Percy Harvin left end for 8 yards (tackle by Tamba Hali),1.140,1.670
1,5:31,2,2,MIN 41,0,3,"Penalty on Charlie Johnson: False Start, 5 yards (no play)",1.670,1.000
1,4:48,2,7,MIN 36,0,3,Donovan McNabb pass complete short middle to Visanthe Shiancoe for 14 yards (tackle by Justin Houston),1.000,2.260
1,4:07,1,10,,0,3,"Donovan McNabb pass complete short right to Bernard Berrian for 13 yards (tackle by Donald Washington). Penalty on Phil Loadholt: Offensive Holding, 10 yards (no play)",2.260,1.600
1,3:50,1,20,MIN 40,0,3,Adrian Peterson left tackle for 14 yards (tackle by Kendrick Lewis),1.600,2.250
1,3:08,2,6,KAN 46,0,3,Adrian Peterson right guard for 5 yards (tackle by Tyson Jackson),2.250,2.210
1,2:26,3,1,KAN 41,0,3,Adrian Peterson left guard for 7 yards (tackle by Tamba Hali),2.210,3.310
1,1:53,1,10,KAN 34,6,3,"Donovan McNabb pass complete deep left to Devin Aromashodu for 34 yards, touchdown",3.310,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,,,,KAN 2,7,3,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 35,7,3,"Ryan Longwell kicks off 65 yards, touchback",0.000,0.280
1,1:47,1,10,KAN 20,7,3,Thomas Jones up the middle for 1 yard (tackle by Husain Abdullah),0.280,-0.130
1,1:14,2,9,KAN 21,7,3,Thomas Jones right guard for 2 yards (tackle by Chad Greenway),-0.130,-0.560
1,0:34,3,7,KAN 23,7,3,Matt Cassel for 11 yards (tackle by Chris Cook),-0.560,1.200
1,0:01,1,10,KAN 34,7,3,Thomas Jones left guard for 7 yards (tackle by E.J. Henderson),1.200,1.600
Quarter,Time,Down,ToGo,Location,MIN,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,KAN 41,7,3,"Penalty on Leonard Pope: False Start, 5 yards (no play)",1.600,0.930
2,15:00,2,8,KAN 36,7,3,Jackie Battle right guard for 6 yards (tackle by E.J. Henderson and Letroy Guion),0.930,1.030
2,14:21,3,2,KAN 42,7,3,Dexter McCluster up the middle for -2 yards (tackle by Letroy Guion),1.030,-0.720
2,13:46,4,4,KAN 40,7,3,"Dustin Colquitt punts 41 yards, fair catch by Marcus Sherels",-0.720,-0.150
2,13:38,1,10,MIN 19,7,3,"Penalty on Visanthe Shiancoe: False Start, 5 yards (no play)",0.150,-0.390
