Quarter,Time,Tm,Detail,MIN,KAN
1.0,7:16,Chiefs,Ryan Succop 40 yard field goal,0,3
,1:47,Vikings,Devin Aromashodu 34 yard pass from Donovan McNabb (Ryan Longwell kick),7,3
2.0,5:15,Chiefs,Ryan Succop 24 yard field goal,7,6
,0:00,Chiefs,Ryan Succop 51 yard field goal,7,9
3.0,9:15,Vikings,Ryan Longwell 33 yard field goal,10,9
,5:18,Chiefs,Ryan Succop 54 yard field goal,10,12
,0:09,Chiefs,Ryan Succop 22 yard field goal,10,15
4.0,13:51,Chiefs,Dwayne Bowe 52 yard pass from Matt Cassel (Ryan Succop kick),10,22
,5:50,Vikings,Michael Jenkins 1 yard pass from Donovan McNabb (Ryan Longwell kick),17,22
