Unnamed: 0,MIN,KAN
First Downs,17,15
Rush-Yds-TDs,30-151-0,28-103-0
Cmp-Att-Yd-TD-INT,18-30-202-2-1,18-29-260-1-0
Sacked-Yards,2-12,3-13
Net Pass Yards,190,247
Total Yards,341,350
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-45,6-57
Third Down Conv.,5-14,6-15
Fourth Down Conv.,2-3,0-0
Time of Possession,32:10,27:50
