Unnamed: 0,WAS,CIN
First Downs,30,35
Rush-Yds-TDs,31-100-1,36-152-3
Cmp-Att-Yd-TD-INT,38-56-458-2-1,27-42-284-1-1
Sacked-Yards,1-12,3-21
Net Pass Yards,446,263
Total Yards,546,415
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,15-106,7-85
Third Down Conv.,8-17,8-15
Fourth Down Conv.,0-2,0-0
Time of Possession,39:42,35:18
