Quarter,Time,Tm,Detail,WAS,CIN
1.0,7:38,Redskins,Robert Kelley 4 yard rush (Dustin Hopkins kick),7,0
,3:51,Bengals,Giovani Bernard 8 yard rush (Mike Nugent kick),7,7
2.0,8:16,Redskins,Dustin Hopkins 20 yard field goal,10,7
3.0,10:42,Bengals,Tyler Eifert 15 yard pass from Andy Dalton (Mike Nugent kick failed),10,13
,5:15,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),10,20
,3:02,Redskins,Jordan Reed 23 yard pass from Kirk Cousins (Dustin Hopkins kick),17,20
4.0,9:30,Redskins,Jamison Crowder 33 yard pass from Kirk Cousins (Dustin Hopkins kick),24,20
,6:54,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),24,27
,1:07,Redskins,Dustin Hopkins 40 yard field goal,27,27
