Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
2,10:36,1,10,CIN 33,0,0,Justin Jefferson pass complete short right to K.J. Osborn for 11 yards,,
2,10:09,1,10,CIN 22,0,0,Dalvin Cook right guard for -3 yards (tackle by Larry Ogunjobi),,
2,9:33,2,13,CIN 25,0,0,"Penalty on K.J. Osborn: False Start, 5 yards (accepted) (no play)",,
2,9:08,2,18,CIN 30,0,0,"Kirk Cousins pass incomplete short middle intended for Adam Thielen (defended by Vonn Bell). Penalty on Garrett Bradbury: Offensive Holding, 10 yards (accepted) (no play)",,
2,8:59,2,28,CIN 40,0,0,Ameer Abdullah right end for 4 yards (tackle by Jessie Bates),,
2,8:22,3,24,CIN 36,0,0,Kirk Cousins pass complete short right to K.J. Osborn for 25 yards (tackle by Jessie Bates),,
2,7:45,1,10,CIN 11,0,0,Dalvin Cook right guard for 1 yard (tackle by Sam Hubbard),,
2,7:08,,,,,,Timeout #2 by Cincinnati Bengals,,
2,7:08,2,9,CIN 10,0,0,"Kirk Cousins sacked by Larry Ogunjobi for no gain. Penalty on Eli Apple: Defensive Holding, 5 yards (accepted) (no play)",,
2,6:42,1,5,CIN 5,6,0,"Kirk Cousins pass complete short right to Adam Thielen for 5 yards, touchdown",,
2,6:39,,,CIN 15,7,0,Greg Joseph kicks extra point good,,
2,6:39,,,MIN 35,7,0,"Greg Joseph kicks off 65 yards, touchback.",,
2,6:39,1,10,CIN 25,7,0,Joe Burrow pass complete short left to Joe Mixon for 12 yards (tackle by Eric Kendricks),,
2,6:06,1,10,CIN 37,7,0,Samaje Perine up the middle for 2 yards (tackle by Nick Vigil),,
2,5:25,2,8,CIN 39,7,0,Samaje Perine right end for -1 yards (tackle by Bashaud Breeland),,
2,4:44,3,9,CIN 38,7,0,Joe Burrow pass complete deep left to Ja'Marr Chase for 17 yards (tackle by Xavier Woods),,
2,4:03,1,10,MIN 45,7,0,Joe Burrow sacked by Harrison Smith for -10 yards,,
2,3:19,2,20,CIN 45,7,0,Samaje Perine up the middle for 13 yards (tackle by Eric Kendricks and Xavier Woods),,
2,2:40,3,7,MIN 42,7,0,Joe Burrow pass complete short right to Ja'Marr Chase for 13 yards (tackle by Bashaud Breeland),,
2,2:02,1,10,MIN 29,7,0,"Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Michael Pierce: Defensive Offside, 5 yards (declined) . Penalty on Bashaud Breeland: Defensive Pass Interference, 26 yards (accepted) (no play)",,
2,1:56,1,3,MIN 3,7,0,Joe Mixon right end for 1 yard (tackle by Harrison Smith),,
2,1:52,2,2,MIN 2,7,6,"Joe Burrow pass complete short middle to Tee Higgins for 2 yards, touchdown",,
2,1:47,,,MIN 15,7,7,Evan McPherson kicks extra point good,,
2,1:47,,,CIN 35,7,7,"Evan McPherson kicks off 65 yards, touchback.",,
2,1:47,1,10,MIN 25,7,7,Kirk Cousins pass incomplete short left intended for Dalvin Cook,,
2,1:44,2,10,MIN 25,7,7,"Kirk Cousins pass complete short middle to Tyler Conklin for no gain (tackle by Ricardo Allen). Penalty on Rashod Hill: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:39,2,20,MIN 15,7,7,Kirk Cousins pass complete short left to Ameer Abdullah for 5 yards (tackle by Vonn Bell),,
2,1:33,3,15,MIN 20,7,7,Kirk Cousins pass complete short middle to Tyler Conklin for 6 yards (tackle by Vonn Bell),,
2,1:23,,,,,,Timeout #3 by Cincinnati Bengals,,
2,1:23,4,9,MIN 26,7,7,"Jordan Berry punts 61 yards, returned by Darius Phillips for 12 yards (tackle by Harrison Hand)",,
2,1:11,1,10,CIN 25,7,7,Joe Burrow pass complete short middle to Tee Higgins for 14 yards (tackle by Bashaud Breeland and Harrison Smith),,
2,0:53,1,10,CIN 39,7,7,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Nick Vigil),,
2,0:47,2,8,CIN 41,7,7,Joe Burrow pass complete short left to Tyler Boyd for 9 yards (tackle by Mackensie Alexander),,
2,0:42,1,10,CIN 50,7,13,"Joe Burrow pass complete deep right to Ja'Marr Chase for 50 yards, touchdown",,
2,0:35,,,MIN 15,7,14,Evan McPherson kicks extra point good,,
2,0:35,,,CIN 35,7,14,"Evan McPherson kicks off 65 yards, touchback.",,
2,0:35,1,10,MIN 25,7,14,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",,
2,0:35,1,15,MIN 20,7,14,Kirk Cousins pass complete deep middle to Adam Thielen for 20 yards (tackle by Logan Wilson),,
2,0:30,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:30,1,10,MIN 40,7,14,"Kirk Cousins pass complete short right to Dede Westbrook for no gain (tackle by Vonn Bell). Penalty on Rashod Hill: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:24,1,20,MIN 30,7,14,Kirk Cousins pass complete short left to Adam Thielen for no gain (tackle by Ricardo Allen and Larry Ogunjobi),,
2,0:20,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:20,2,20,MIN 30,7,14,"Kirk Cousins pass incomplete short right intended for K.J. Osborn Penalty on MIN: Illegal Formation, 5 yards (declined)",,
2,0:07,3,20,MIN 30,7,14,"Kirk Cousins pass complete short left to Justin Jefferson for 9 yards (tackle by Chidobe Awuzie). Penalty on Garrett Bradbury: Offensive Holding, 10 yards (declined)",,
2,0:10,4,11,MIN 39,7,14,"Jordan Berry punts 52 yards, returned by Darius Phillips for 15 yards (tackle by Andrew DePaola)",,
Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,7,14,"Greg Joseph kicks off 65 yards, touchback.",,
3,15:00,1,10,CIN 25,7,14,Joe Mixon right tackle for 3 yards (tackle by Eric Kendricks),,
3,14:22,2,7,CIN 28,7,14,Joe Mixon right tackle for 6 yards (tackle by D.J. Wonnum),,
3,13:41,3,1,CIN 34,7,14,Joe Burrow pass complete short right to Joe Mixon for 4 yards (tackle by Bashaud Breeland),,
3,13:06,1,10,CIN 38,7,14,Joe Burrow pass complete short right to Tee Higgins for 28 yards (tackle by Nick Vigil),,
3,12:27,1,10,MIN 34,7,14,Joe Mixon left tackle for 4 yards (tackle by Eric Kendricks and Michael Pierce),,
3,11:48,2,6,MIN 30,7,14,Joe Burrow pass incomplete deep right intended for Mike Thomas,,
3,11:43,3,6,MIN 30,7,14,Joe Burrow pass complete short right to Tyler Boyd for 5 yards (tackle by Eric Kendricks),,
3,11:00,4,1,MIN 25,7,14,Joe Burrow right guard for 2 yards (tackle by Dalvin Tomlinson),,
3,10:24,1,10,MIN 23,7,14,Joe Mixon right tackle for 7 yards (tackle by Eric Kendricks and Danielle Hunter),,
3,9:45,2,3,MIN 16,7,14,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by Kris Boyd),,
3,9:19,1,2,MIN 2,7,20,"Joe Mixon up the middle for 2 yards, touchdown",,
3,9:15,,,MIN 15,7,21,Evan McPherson kicks extra point good,,
3,9:15,,,CIN 35,7,21,"Evan McPherson kicks off 70 yards, returned by Ihmir Smith-Marsette for 21 yards (tackle by Samaje Perine)",,
3,9:11,1,10,MIN 16,7,21,Dalvin Cook right guard for 13 yards (tackle by Logan Wilson),,
3,8:39,1,10,MIN 29,7,21,Dalvin Cook left guard for no gain (tackle by Larry Ogunjobi),,
3,8:05,2,11,MIN 29,7,21,Dalvin Cook left guard for 8 yards (tackle by Eli Apple),,
3,7:24,3,2,MIN 37,7,21,Kirk Cousins pass complete short left to Ameer Abdullah for 10 yards (tackle by Logan Wilson),,
3,6:46,1,10,MIN 47,7,21,Dalvin Cook left tackle for -1 yards (tackle by Vonn Bell),,
3,6:41,2,11,MIN 46,7,21,"Penalty on Oli Udoh: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",,
3,6:26,2,26,MIN 31,7,21,Kirk Cousins pass incomplete short middle intended for Chris Herndon,,
3,6:22,3,26,MIN 31,7,21,Kirk Cousins pass complete short middle to K.J. Osborn for 10 yards (tackle by Jessie Bates),,
3,5:41,4,16,MIN 41,7,21,"Jordan Berry punts 41 yards, returned by Darius Phillips for 3 yards (tackle by Troy Dye)",,
3,5:31,1,10,CIN 21,7,21,Joe Burrow sacked by Michael Pierce for -8 yards,,
3,4:49,2,18,CIN 13,7,21,Joe Mixon right guard for 2 yards (tackle by Danielle Hunter and Dalvin Tomlinson),,
3,4:06,3,16,CIN 15,7,21,Joe Burrow pass complete short right to Ja'Marr Chase for 15 yards (tackle by Eric Kendricks and Bashaud Breeland),,
3,3:20,4,1,CIN 30,7,21,Joe Mixon right tackle for no gain (tackle by Nick Vigil),,
3,3:15,1,10,CIN 30,7,21,Kirk Cousins pass incomplete short left intended for Chris Herndon,,
3,3:10,2,10,CIN 30,7,21,Dalvin Cook left end for 6 yards (tackle by Logan Wilson),,
3,2:34,3,4,CIN 24,7,21,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,,
3,2:30,4,4,CIN 24,13,21,"Kirk Cousins pass complete short middle to Adam Thielen for 24 yards, touchdown",,
3,2:24,,,CIN 15,14,21,Greg Joseph kicks extra point good,,
3,2:24,,,MIN 35,14,21,"Greg Joseph kicks off 65 yards, touchback.",,
3,2:24,1,10,CIN 25,14,21,Joe Mixon right tackle for 5 yards (tackle by Nick Vigil and D.J. Wonnum),,
3,1:46,2,5,CIN 30,14,21,Joe Mixon left tackle for 10 yards (tackle by Harrison Smith),,
3,1:04,1,10,CIN 40,14,21,Joe Mixon right end for 19 yards (tackle by Xavier Woods),,
3,0:30,1,10,MIN 41,14,21,Samaje Perine up the middle for 1 yard (tackle by Nick Vigil and Danielle Hunter),,
Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,MIN 41,14,21,Joe Mixon up the middle for 5 yards (tackle by Sheldon Richardson and Eric Kendricks),,
4,14:21,3,4,MIN 35,14,21,Joe Burrow pass incomplete short left intended for Mike Thomas (defended by Mackensie Alexander),,
4,14:19,4,4,MIN 35,14,24,Evan McPherson 53 yard field goal good,,
4,14:13,,,CIN 35,14,24,"Evan McPherson kicks off 65 yards, touchback.",,
4,14:13,1,10,MIN 25,14,24,Kirk Cousins pass complete short right to Adam Thielen for 5 yards (tackle by Eli Apple),,
4,13:39,2,5,MIN 30,14,24,Kirk Cousins pass incomplete short middle,,
4,13:35,3,5,MIN 30,14,24,"Kirk Cousins pass incomplete short middle intended for Adam Thielen (defended by Akeem Davis-Gaither). Penalty on Trey Hendrickson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
4,13:32,1,10,MIN 35,14,24,Dalvin Cook right end for 5 yards (tackle by Vonn Bell),,
4,13:00,2,5,MIN 40,14,24,Kirk Cousins pass complete short middle to C.J. Ham for 6 yards (tackle by Germaine Pratt),,
4,12:15,1,10,MIN 46,14,24,Dalvin Cook right tackle for 2 yards (tackle by Sam Hubbard and D.J. Reader),,
4,11:37,2,8,MIN 48,14,24,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Chidobe Awuzie),,
4,11:31,,,,,,Timeout #1 by Minnesota Vikings,,
4,11:31,3,8,MIN 48,14,24,Kirk Cousins pass complete short middle to Dalvin Cook for 9 yards (tackle by Vonn Bell and Chidobe Awuzie),,
4,10:50,1,10,CIN 43,14,24,Kirk Cousins pass complete short middle to K.J. Osborn for 8 yards (tackle by Jordan Evans),,
4,10:15,2,2,CIN 35,14,24,"Kirk Cousins pass complete short middle to Justin Jefferson for 34 yards (tackle by Eli Apple and Germaine Pratt) MIN challenged the runner broke the plane ruling, and the play was upheld.",,
4,9:26,1,1,CIN 1,20,24,"Dalvin Cook left tackle for 1 yard, touchdown",,
4,9:23,,,CIN 15,21,24,Greg Joseph kicks extra point good,,
4,9:23,,,MIN 35,21,24,"Greg Joseph kicks off 66 yards, returned by Brandon Wilson for 11 yards (tackle by Harrison Hand)",,
4,9:16,1,10,CIN 10,21,24,Joe Burrow pass complete short middle to Tyler Boyd for 18 yards (tackle by Harrison Smith),,
4,8:45,1,10,CIN 28,21,24,Joe Mixon left end for 5 yards (tackle by Eric Kendricks),,
4,8:16,2,5,CIN 33,21,24,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,,
4,8:11,3,5,CIN 33,21,24,Joe Burrow sacked by Danielle Hunter for -8 yards,,
4,7:26,4,13,CIN 25,21,24,Kevin Huber punts 43 yards out of bounds,,
4,7:18,1,10,MIN 32,21,24,"Kirk Cousins pass incomplete intended for Adam Thielen. Penalty on Ezra Cleveland: Offensive Holding, 10 yards (accepted) (no play)",,
4,7:10,1,20,MIN 22,21,24,Dalvin Cook right tackle for no gain (tackle by Germaine Pratt and Larry Ogunjobi),,
4,6:28,2,20,MIN 22,21,24,Kirk Cousins pass complete short right to K.J. Osborn for 10 yards (tackle by Eli Apple),,
4,5:48,3,10,MIN 32,21,24,Kirk Cousins sacked by B.J. Hill for -8 yards,,
4,5:05,4,18,MIN 24,21,24,Jordan Berry punts 51 yards downed by Stephen Weatherly,,
4,4:52,1,10,CIN 25,21,24,Joe Mixon left end for 9 yards (tackle by Xavier Woods),,
4,4:10,2,1,CIN 34,21,24,Joe Mixon right guard for 12 yards (tackle by Harrison Smith),,
4,3:22,1,10,CIN 46,21,24,Joe Mixon right end for -1 yards (tackle by Dalvin Tomlinson and Michael Pierce),,
4,2:41,2,12,CIN 45,21,24,Samaje Perine right guard for 7 yards (tackle by Bashaud Breeland),,
4,2:00,3,4,MIN 48,21,24,Joe Mixon left tackle for 1 yard (tackle by Stephen Weatherly),,
4,1:55,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:55,,,,,,Timeout #1 by Cincinnati Bengals,,
4,1:55,4,3,MIN 47,21,24,Kevin Huber punts 42 yards downed by Stanley Morgan,,
4,1:48,1,10,MIN 5,21,24,Kirk Cousins pass complete short middle to Dalvin Cook for 7 yards (tackle by Vonn Bell and Ricardo Allen),,
4,1:31,2,3,MIN 12,21,24,Kirk Cousins pass complete deep middle to Tyler Conklin for 27 yards (tackle by Jessie Bates),,
4,1:11,1,10,MIN 39,21,24,Kirk Cousins pass incomplete deep left intended for K.J. Osborn,,
4,1:07,2,10,MIN 39,21,24,Kirk Cousins pass complete short right to Dalvin Cook for no gain (tackle by Ricardo Allen),,
4,1:01,3,10,MIN 39,21,24,Kirk Cousins pass complete short right to K.J. Osborn for 6 yards (tackle by Chidobe Awuzie and Ricardo Allen),,
4,0:38,4,4,MIN 45,21,24,Kirk Cousins pass complete short middle to K.J. Osborn for 6 yards (tackle by Mike Hilton),,
4,0:19,1,10,CIN 49,21,24,Kirk Cousins pass complete short right to Adam Thielen for 14 yards (tackle by Eli Apple),,
4,0:03,1,10,CIN 35,21,24,Kirk Cousins spiked the ball,,
4,0:03,,,,,,Timeout #2 by Cincinnati Bengals,,
4,0:03,2,10,CIN 35,24,24,Greg Joseph 53 yard field goal good,,
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,
OT,10:00,,,MIN 35,24,24,"Greg Joseph kicks off 65 yards, touchback.",,
OT,10:00,1,10,CIN 25,24,24,Joe Mixon left tackle for 2 yards (tackle by Dalvin Tomlinson),,
OT,9:23,2,8,CIN 27,24,24,Joe Mixon right end for 8 yards (tackle by Bashaud Breeland),,
OT,8:48,1,10,CIN 35,24,24,Joe Burrow pass complete short right to Mike Thomas for 5 yards (tackle by Kris Boyd),,
OT,8:05,2,5,CIN 40,24,24,Joe Mixon right tackle for 2 yards (tackle by Michael Pierce),,
OT,7:24,3,3,CIN 42,24,24,Joe Burrow sacked by Michael Pierce for -6 yards,,
OT,6:40,4,9,CIN 36,24,24,"Kevin Huber punts 43 yards, fair catch by Dede Westbrook at MIN-21",,
OT,6:32,1,10,MIN 21,24,24,Dalvin Cook left guard for -1 yards (tackle by Germaine Pratt),,
OT,5:56,2,11,MIN 20,24,24,Kirk Cousins pass incomplete short right,,
OT,5:51,3,11,MIN 20,24,24,"Kirk Cousins pass complete short middle to Adam Thielen for 7 yards (tackle by Darius Phillips) Penalty on MIN: Illegal Formation, 5 yards (declined)",,
OT,5:32,4,4,MIN 27,24,24,"Jordan Berry punts 63 yards, fair catch by Darius Phillips at CIN-10",,
OT,5:24,1,10,CIN 10,24,24,Joe Mixon right guard for 4 yards (tackle by Danielle Hunter),,
OT,4:41,2,6,CIN 14,24,24,Joe Mixon right tackle for no gain (tackle by Armon Watts),,
OT,3:57,,,,,,Timeout #1 by Cincinnati Bengals,,
OT,3:57,3,6,CIN 14,24,24,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,,
OT,3:54,4,6,CIN 14,24,24,"Kevin Huber punts 61 yards, returned by Dede Westbrook for 12 yards (tackle by Samaje Perine)",,
OT,3:40,1,10,MIN 37,24,24,Dalvin Cook right tackle for no gain (tackle by Mike Hilton and D.J. Reader),,
OT,3:06,2,10,MIN 37,24,24,"Kirk Cousins pass incomplete short right intended for Justin Jefferson. Penalty on Chidobe Awuzie: Defensive Holding, 5 yards (accepted) (no play)",,
OT,3:00,1,10,MIN 42,24,24,Kirk Cousins pass complete short right to C.J. Ham for 3 yards,,
OT,2:53,2,7,MIN 45,24,24,Kirk Cousins pass complete short left to Adam Thielen for 5 yards (tackle by Chidobe Awuzie),,
OT,2:18,3,2,MIN 50,24,24,Kirk Cousins pass complete short middle to Justin Jefferson for 12 yards (tackle by Chidobe Awuzie),,
OT,2:00,1,10,CIN 38,24,24,"Dalvin Cook right tackle for -1 yards. Dalvin Cook fumbles (forced by Germaine Pratt), recovered by Germaine Pratt at CIN-39 (tackle by Germaine Pratt and Jessie Bates)",,
OT,1:48,1,10,CIN 39,24,24,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Danielle Hunter),,
OT,1:21,2,5,CIN 45,24,24,Joe Mixon right end for 2 yards (tackle by Stephen Weatherly),,
OT,1:11,,,,,,Timeout #2 by Cincinnati Bengals,,
OT,1:11,3,2,CIN 47,24,24,Joe Mixon up the middle for 1 yard (tackle by Nick Vigil),,
OT,0:40,4,1,CIN 48,24,24,Joe Burrow pass complete short left to C.J. Uzomah for 32 yards (tackle by Xavier Woods),,
OT,0:31,1,10,MIN 20,24,24,Joe Mixon up the middle for 5 yards (tackle by Blake Lynch and Eric Kendricks),,
OT,0:06,2,6,MIN 16,24,24,Joe Burrow spiked the ball,,
OT,0:05,,,,,,Timeout #1 by Minnesota Vikings,,
OT,0:05,3,6,MIN 16,24,27,Evan McPherson 34 yard field goal good,,
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
