Unnamed: 0,MIN,CIN
First Downs,24,20
Rush-Yds-TDs,22-67-1,36-149-1
Cmp-Att-Yd-TD-INT,37-50-362-2-0,20-27-261-2-0
Sacked-Yards,3-26,5-44
Net Pass Yards,336,217
Total Yards,403,366
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,12-116,3-15
Third Down Conv.,6-16,3-14
Fourth Down Conv.,2-2,2-3
Time of Possession,35:09,34:51
