Quarter,Time,Tm,Detail,MIN,CIN
2,6:39,Vikings,Adam Thielen 5 yard pass from Kirk Cousins (Greg Joseph kick),7,0
,1:47,Bengals,Tee Higgins 2 yard pass from Joe Burrow (Evan McPherson kick),7,7
,0:35,Bengals,Ja'Marr Chase 50 yard pass from Joe Burrow (Evan McPherson kick),7,14
3,9:15,Bengals,Joe Mixon 2 yard rush (Evan McPherson kick),7,21
,2:24,Vikings,Adam Thielen 24 yard pass from Kirk Cousins (Greg Joseph kick),14,21
4,14:13,Bengals,Evan McPherson 53 yard field goal,14,24
,9:23,Vikings,Dalvin Cook 1 yard rush (Greg Joseph kick),21,24
,0:00,Vikings,Greg Joseph 53 yard field goal,24,24
OT,0:00,Bengals,Evan McPherson 34 yard field goal,24,27
