Quarter,Time,Tm,Detail,JAX,TEN
1.0,4:15,Titans,Craig Stevens 10 yard pass from Marcus Mariota (Ryan Succop kick),0,7
2.0,14:56,Jaguars,Rashad Greene 2 yard pass from Blake Bortles (Jason Myers kick failed),6,7
,8:45,Titans,Delanie Walker 7 yard pass from Marcus Mariota (Ryan Succop kick),6,14
,1:52,Jaguars,T.J. Yeldon 1 yard rush (pass failed),12,14
,0:02,Titans,Antonio Andrews 1 yard rush (Ryan Succop kick),12,21
3.0,4:52,Jaguars,Allen Robinson 1 yard pass from Blake Bortles (Jason Myers kick),19,21
4.0,14:49,Titans,Dorial Green-Beckham 47 yard pass from Marcus Mariota (Ryan Succop kick),19,28
,11:52,Jaguars,Allen Robinson 8 yard pass from Blake Bortles (Jason Myers kick failed),25,28
,10:09,Jaguars,Julius Thomas 9 yard pass from Blake Bortles (Jason Myers kick),32,28
,8:30,Titans,Marcus Mariota 87 yard rush (Ryan Succop kick),32,35
,7:46,Titans,Wesley Woodyard 3 yard defensive fumble return (Ryan Succop kick),32,42
,6:28,Jaguars,Allen Robinson 7 yard pass from Blake Bortles (Jason Myers kick),39,42
