Unnamed: 0,JAX,TEN
First Downs,20,26
Rush-Yds-TDs,21-81-1,35-210-2
Cmp-Att-Yd-TD-INT,24-36-322-5-0,20-29-268-3-1
Sacked-Yards,2-20,4-11
Net Pass Yards,302,257
Total Yards,383,467
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-21,4-38
Third Down Conv.,10-14,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,26:26,33:34
