Unnamed: 0,ATL,MIA
First Downs,24,16
Rush-Yds-TDs,30-146-0,15-90-1
Cmp-Att-Yd-TD-INT,23-38-231-2-1,24-35-236-2-1
Sacked-Yards,0-0,5-41
Net Pass Yards,231,195
Total Yards,377,285
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,7-59,2-13
Third Down Conv.,5-11,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,37:09,22:51
