Quarter,Time,Tm,Detail,ATL,MIA
1.0,6:12,Falcons,Jason Snelling 7 yard pass from Matt Ryan (Matt Bryant kick),7,0
2.0,13:02,Falcons,Matt Bryant 52 yard field goal,10,0
,10:06,Dolphins,Daniel Thomas 5 yard rush (Caleb Sturgis kick),10,7
,2:04,Falcons,Matt Bryant 20 yard field goal,13,7
,0:00,Dolphins,Caleb Sturgis 46 yard field goal,13,10
3.0,12:40,Falcons,Levine Toilolo 2 yard pass from Matt Ryan (Matt Bryant kick),20,10
,9:12,Dolphins,Caleb Sturgis 50 yard field goal,20,13
,0:56,Dolphins,Brian Hartline 18 yard pass from Ryan Tannehill (Caleb Sturgis kick),20,20
4.0,11:39,Falcons,Matt Bryant 33 yard field goal,23,20
,0:38,Dolphins,Dion Sims 1 yard pass from Ryan Tannehill (Caleb Sturgis kick),23,27
