Unnamed: 0,NWE,BUF
First Downs,18,12
Rush-Yds-TDs,27-94-2,25-75-0
Cmp-Att-Yd-TD-INT,18-27-195-2-0,16-25-192-0-1
Sacked-Yards,4-24,2-12
Net Pass Yards,171,180
Total Yards,265,255
Fumbles-Lost,1-0,4-3
Turnovers,0,4
Penalties-Yards,3-25,9-67
Third Down Conv.,8-15,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,31:40,28:20
