Quarter,Time,Tm,Detail,NWE,BUF
1.0,8:23,Patriots,Corey Dillon 8 yard rush (Stephen Gostkowski kick),7,0
,2:24,Bills,Rian Lindell 40 yard field goal,7,3
,0:59,Patriots,Corey Dillon 12 yard rush (Stephen Gostkowski kick),14,3
3.0,2:42,Patriots,Chad Jackson 35 yard pass from Tom Brady (Stephen Gostkowski kick),21,3
4.0,11:45,Bills,Rian Lindell 46 yard field goal,21,6
,7:36,Patriots,Doug Gabriel 5 yard pass from Tom Brady (Stephen Gostkowski kick),28,6
