Quarter,Time,Tm,Detail,JAX,BUF
1.0,2:48,Bills,Eric Moulds 17 yard pass from Drew Bledsoe (Rian Lindell kick),0,7
2.0,0:17,Jaguars,Josh Scobee 25 yard field goal,3,7
3.0,4:32,Jaguars,Josh Scobee 27 yard field goal,6,7
4.0,10:15,Bills,Rian Lindell 25 yard field goal,6,10
,0:00,Jaguars,Ernest Wilford 7 yard pass from Byron Leftwich (Josh Scobee kick),13,10
