Unnamed: 0,JAX,BUF
First Downs,14,16
Rush-Yds-TDs,23-83-0,36-95-0
Cmp-Att-Yd-TD-INT,18-36-147-1-2,17-26-153-1-0
Sacked-Yards,2-5,1-6
Net Pass Yards,142,147
Total Yards,225,242
Fumbles-Lost,0-0,3-2
Turnovers,2,2
Penalties-Yards,9-50,7-78
Third Down Conv.,2-13,7-14
Fourth Down Conv.,3-3,0-0
Time of Possession,26:07,33:53
