Quarter,Time,Tm,Detail,CLE,PHI
1.0,9:50,Eagles,Jordan Matthews 19 yard pass from Carson Wentz (Caleb Sturgis kick),0,7
2.0,12:30,Eagles,Caleb Sturgis 22 yard field goal,0,10
,9:11,Browns,Isaiah Crowell 2 yard rush (Patrick Murray kick),7,10
,0:27,Eagles,Caleb Sturgis 38 yard field goal,7,13
3.0,13:57,Browns,Patrick Murray 35 yard field goal,10,13
,10:49,Eagles,"Safety, Fumble O.B. in end zone",10,15
,6:17,Eagles,Nelson Agholor 35 yard pass from Carson Wentz (Caleb Sturgis kick),10,22
4.0,1:12,Eagles,Ryan Mathews 1 yard rush (Caleb Sturgis kick),10,29
