Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA
1,4:16,1,10,CLE 42,0,7,Ryan Mathews right end for 7 yards (tackle by Xavier Cooper),2.790,3.190
1,3:37,2,3,CLE 35,0,7,Ryan Mathews middle for 5 yards (tackle by Demario Davis),3.190,3.580
1,2:54,1,10,CLE 30,0,7,Ryan Mathews right end for 4 yards (tackle by Christian Kirksey),3.580,3.570
1,2:17,2,6,CLE 26,0,7,Darren Sproles right end for 2 yards (tackle by Derrick Kindred),3.570,3.140
1,1:32,3,4,CLE 24,0,7,Carson Wentz sacked by Christian Kirksey for -4 yards,3.140,1.590
1,0:51,4,8,CLE 28,0,7,Caleb Sturgis 46 yard field goal no good,1.590,-1.330
1,0:47,1,10,CLE 36,0,7,Robert Griffin pass complete short left to Malcolm Johnson for 6 yards (tackle by Nolan Carroll),1.330,1.600
1,0:09,2,4,CLE 42,0,7,Andrew Hawkins left end for -1 yards (tackle by Rodney McLeod),1.600,0.760
Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,CLE 41,0,7,Robert Griffin pass incomplete short left intended for Gary Barnidge,0.760,-0.650
2,14:50,4,5,CLE 41,0,7,Duke Johnson right end for -6 yards (tackle by Kamu Grugier-Hill),-0.650,-3.250
2,14:44,1,10,CLE 35,0,7,Carson Wentz pass complete short right to Jordan Matthews for 28 yards (tackle by Ibraheim Campbell),3.250,5.600
2,14:03,1,7,CLE 7,0,7,Ryan Mathews right end for 1 yard (tackle by Demario Davis and Christian Kirksey),5.600,4.950
2,13:21,2,6,CLE 6,0,7,Ryan Mathews right end for 2 yards (tackle by Ibraheim Campbell),4.950,4.490
2,12:36,3,4,CLE 4,0,7,Carson Wentz pass incomplete short right intended for Jordan Matthews,4.490,3.030
2,12:33,4,4,CLE 4,0,10,Caleb Sturgis 22 yard field goal good,3.030,3.000
2,12:33,,,PHI 35,0,10,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
2,12:01,1,10,CLE 25,0,10,Robert Griffin pass complete short right to Terrelle Pryor for 11 yards (tackle by Leodis McKelvin),0.610,1.330
2,11:53,1,10,CLE 36,0,10,Robert Griffin pass incomplete short left intended for Corey Coleman,1.330,0.790
2,11:48,2,10,CLE 36,0,10,Robert Griffin pass complete short right to Duke Johnson for 16 yards (tackle by Malcolm Jenkins),0.790,2.390
2,11:09,1,10,PHI 48,0,10,"Penalty on Terrelle Pryor: False Start, 5 yards (no play)",2.390,2.060
2,10:52,1,15,CLE 47,0,10,Robert Griffin pass complete deep left to Terrelle Pryor for 44 yards (tackle by Nolan Carroll),2.060,5.140
2,10:07,1,9,PHI 9,0,10,Isaiah Crowell right tackle for 1 yard (tackle by Beau Allen and Brandon Graham),5.140,4.570
2,9:27,2,8,PHI 8,0,10,Robert Griffin pass incomplete short left intended for Andrew Hawkins,4.570,3.580
2,9:23,3,8,PHI 8,0,10,"Robert Griffin pass incomplete short right intended for Duke Johnson (defended by Malcolm Jenkins). Penalty on Malcolm Jenkins: Defensive Pass Interference, 6 yards (no play)",3.580,6.740
2,9:15,1,2,PHI 2,6,10,"Isaiah Crowell left end for 2 yards, touchdown",6.740,7.000
2,9:15,,,PHI 2,7,10,Patrick Murray kicks extra point good,0.000,0.000
2,9:15,,,CLE 35,7,10,"Patrick Murray kicks off 65 yards, returned by Wendell Smallwood for 23 yards (tackle by Derrick Kindred)",0.000,-0.480
2,9:06,1,10,PHI 23,7,10,Carson Wentz pass complete short left to Nelson Agholor for 4 yards (tackle by Demario Davis),0.480,0.470
2,8:31,2,6,PHI 27,7,10,Ryan Mathews left end for 1 yard (tackle by Jordan Poyer),0.470,-0.100
2,7:49,3,5,PHI 28,7,10,Carson Wentz pass incomplete short middle intended for Nelson Agholor,-0.100,-1.500
2,7:43,4,5,PHI 28,7,10,"Donnie Jones punts 72 yards, touchback",-1.500,-0.280
2,7:35,1,10,CLE 20,7,10,Robert Griffin pass complete short middle to Terrelle Pryor for 13 yards (tackle by Rodney McLeod),0.280,1.140
2,6:53,1,10,CLE 33,7,10,Isaiah Crowell left guard for 6 yards (tackle by Nigel Bradham),1.140,1.400
2,6:09,2,4,CLE 39,7,10,Isaiah Crowell left end for -4 yards (tackle by Brandon Graham),1.400,0.170
2,5:29,3,8,CLE 35,7,10,Robert Griffin pass complete short left to Duke Johnson for 12 yards (tackle by Connor Barwin),0.170,2.060
2,4:58,1,10,CLE 47,7,10,Robert Griffin for 20 yards,2.060,3.380
2,4:33,1,10,PHI 33,7,10,Isaiah Crowell right end for 5 yards (tackle by Nigel Bradham),3.380,3.510
2,3:52,2,5,PHI 28,7,10,Robert Griffin pass incomplete short middle intended for Corey Coleman is intercepted by Rodney McLeod at PHI-16 and returned for 5 yards,3.510,-0.340
2,3:43,1,10,PHI 21,7,10,Darren Sproles right end for 3 yards (tackle by Xavier Cooper),0.340,0.210
2,3:00,2,7,PHI 24,7,10,Kenjon Barner for 17 yards,0.210,1.660
2,2:23,1,10,PHI 41,7,10,Ryan Mathews middle for 1 yard (tackle by Derrick Kindred),1.660,1.260
2,2:00,2,9,PHI 42,7,10,Carson Wentz pass complete short right to Zach Ertz for 5 yards (tackle by Jamar Taylor),1.260,1.220
2,1:38,3,4,PHI 47,7,10,Carson Wentz pass complete short middle to Jordan Matthews for 8 yards (tackle by Tramon Williams),1.220,2.590
2,1:18,1,10,CLE 45,7,10,Carson Wentz pass complete short left to Nelson Agholor for 11 yards (tackle by Jamar Taylor),2.590,2.590
2,1:11,1,10,CLE 45,7,10,Timeout #1 by Philadelphia Eagles,2.590,3.310
2,1:11,1,10,CLE 34,7,10,Carson Wentz pass complete short left to Darren Sproles for 15 yards (tackle by Demario Davis),3.310,4.310
2,0:42,1,10,CLE 19,7,10,Carson Wentz pass incomplete short left intended for Jordan Matthews,4.310,3.750
2,0:40,2,10,CLE 19,7,10,Carson Wentz pass incomplete short right intended for Darren Sproles (defended by Carl Nassib),3.750,3.030
2,0:35,3,10,CLE 19,7,10,Carson Wentz pass incomplete short left intended for Darren Sproles,3.030,3.030
2,0:28,3,10,CLE 19,7,10,Timeout #1 by Cleveland Browns,3.030,2.180
2,0:28,4,10,CLE 19,7,13,Caleb Sturgis 38 yard field goal good,2.180,3.000
2,0:28,,,PHI 35,7,13,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
2,0:27,1,10,CLE 25,7,13,Duke Johnson for 17 yards,0.610,1.730
2,0:21,1,10,CLE 42,7,13,Robert Griffin for 2 yards,1.730,1.460
2,0:14,2,8,CLE 44,7,13,Robert Griffin pass incomplete short right intended for Duke Johnson,1.460,0.760
2,0:09,3,8,CLE 44,7,13,Robert Griffin pass complete short right to Isaiah Crowell for 14 yards (tackle by Nigel Bradham),0.760,2.790
Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,7,13,"Caleb Sturgis kicks off 65 yards, touchback",0.000,0.610
3,15:00,1,10,CLE 25,7,13,Robert Griffin pass complete deep left to Corey Coleman for 58 yards (tackle by Nolan Carroll),0.610,4.440
3,14:48,1,10,PHI 17,7,13,Isaiah Crowell right tackle for no gain (tackle by Fletcher Cox),4.440,3.850
3,14:13,2,10,PHI 17,7,13,Robert Griffin pass incomplete deep left intended for Terrelle Pryor,3.850,3.850
3,14:07,2,10,PHI 17,7,13,Timeout #1 by Cleveland Browns,3.850,3.070
3,14:07,3,10,PHI 17,7,13,Robert Griffin pass incomplete deep left intended for Andrew Hawkins,3.070,2.310
3,14:01,4,10,PHI 17,10,13,Patrick Murray 35 yard field goal good,2.310,3.000
3,14:01,,,CLE 35,10,13,"Patrick Murray kicks off 65 yards, touchback",0.000,-0.610
3,13:57,1,10,PHI 25,10,13,Ryan Mathews left guard for 1 yard (tackle by Danny Shelton),0.610,0.200
3,13:18,2,9,PHI 26,10,13,Carson Wentz pass incomplete short middle intended for Josh Huff,0.200,-0.490
3,13:15,3,9,PHI 26,10,13,Carson Wentz pass complete deep middle to Jordan Matthews for 22 yards (tackle by Ibraheim Campbell). Penalty on Jordan Poyer: Defensive Offside (Declined),-0.490,2.130
3,12:48,1,10,PHI 48,10,13,Darren Sproles middle for 4 yards (tackle by Joe Schobert),2.130,2.120
3,12:10,2,6,CLE 48,10,13,"Carson Wentz pass complete short right to Zach Ertz for 3 yards (tackle by Jordan Poyer). Penalty on Brent Celek: Offensive Pass Interference, 10 yards (no play)",2.120,0.770
3,11:43,2,16,PHI 42,10,13,Carson Wentz pass incomplete short left intended for Darren Sproles,0.770,0.100
3,11:38,3,16,PHI 42,10,13,Carson Wentz pass complete short middle to Zach Ertz for 6 yards (tackle by Christian Kirksey),0.100,-0.190
3,11:02,4,10,PHI 48,10,13,"Donnie Jones punts 37 yards, fair catch by Tramon Williams",-0.190,0.220
3,10:54,1,10,CLE 15,10,15,"Robert Griffin for no gain. Cameron Erving fumbles, safety",-0.220,-2.000
3,10:54,,,CLE 20,10,15,"Britton Colquitt kicks off 72 yards, returned by Darren Sproles for 19 yards (tackle by Ricardo Louis)",0.000,-0.740
3,10:42,1,10,PHI 27,10,15,Carson Wentz pass incomplete deep right intended for Jordan Matthews,0.740,0.200
3,10:36,2,10,PHI 27,10,15,Carson Wentz pass complete short left to Dorial Green-Beckham for 9 yards (tackle by Jordan Poyer),0.200,0.700
3,10:03,3,1,PHI 36,10,15,Ryan Mathews left end for 6 yards (tackle by Jamar Taylor),0.700,1.730
3,9:22,1,10,PHI 42,10,15,Carson Wentz pass complete short right to Jordan Matthews for 12 yards (tackle by Joe Haden),1.730,2.520
3,8:38,1,10,CLE 46,10,15,Wendell Smallwood middle for 1 yard (tackle by Tramon Williams),2.520,2.110
3,7:53,2,9,CLE 45,10,15,Carson Wentz pass complete short left to Dorial Green-Beckham for 5 yards (tackle by Jamar Taylor),2.110,2.080
3,7:08,3,4,CLE 40,10,15,Carson Wentz pass incomplete short right intended for Jordan Matthews,2.080,0.590
3,7:04,4,4,CLE 40,10,15,Carson Wentz pass complete short middle to Zach Ertz for 5 yards (tackle by Jordan Poyer),0.590,3.250
3,6:23,1,10,CLE 35,10,21,"Carson Wentz pass complete deep right to Nelson Agholor for 35 yards, touchdown",3.250,7.000
3,6:23,,,CLE 35,10,22,Caleb Sturgis kicks extra point good,0.000,0.000
3,6:23,,,PHI 35,10,22,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
3,6:17,1,10,CLE 25,10,22,Isaiah Crowell right end for 10 yards (tackle by Jordan Hicks),0.610,1.270
3,5:34,1,10,CLE 35,10,22,Robert Griffin sacked by Fletcher Cox for -8 yards,1.270,-0.360
3,4:44,2,18,CLE 27,10,22,"Isaiah Crowell middle for 7 yards (tackle by Nigel Bradham). Penalty on Vinny Curry: Defensive Offside, 5 yards (no play)",-0.360,0.320
3,4:21,2,13,CLE 32,10,22,Robert Griffin pass incomplete deep left intended for Terrelle Pryor,0.320,-0.360
3,4:13,3,13,CLE 32,10,22,Robert Griffin pass complete short right to Corey Coleman for 11 yards (tackle by Jalen Mills),-0.360,-0.520
3,3:34,4,2,CLE 43,10,22,"Britton Colquitt punts 42 yards, returned by Darren Sproles for 6 yards (tackle by Dominique Alexander)",-0.520,-0.340
3,3:24,1,10,PHI 21,10,22,Carson Wentz pass complete short left to Zach Ertz for 15 yards (tackle by Derrick Kindred),0.340,1.330
3,2:48,1,10,PHI 36,10,22,Ryan Mathews left end for 6 yards (tackle by Derrick Kindred),1.330,1.600
3,2:12,2,4,PHI 42,10,22,Kenjon Barner left end for 19 yards (tackle by Derrick Kindred),1.600,2.980
3,1:28,1,10,CLE 39,10,22,Darren Sproles for 6 yards,2.980,3.250
3,0:50,2,4,CLE 33,10,22,"Carson Wentz for no gain. Carson Wentz fumbles, recovered by Darren Sproles at CLE-39",3.250,1.750
3,0:05,3,10,CLE 39,10,22,Carson Wentz sacked by Carl Nassib for -4 yards,1.750,0.400
Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,14,CLE 43,10,22,Donnie Jones punts 42 yards,0.400,0.380
4,14:51,1,10,CLE 1,10,22,Robert Griffin pass complete short right to Malcolm Johnson for 3 yards (tackle by Nigel Bradham),-0.380,-0.560
4,14:06,2,7,CLE 4,10,22,Robert Griffin pass incomplete deep right intended for Corey Coleman,-0.560,-1.070
4,14:01,3,7,CLE 4,10,22,Robert Griffin pass incomplete deep right intended for Terrelle Pryor,-1.070,-2.490
4,13:56,4,7,CLE 4,10,22,"Britton Colquitt punts 43 yards, fair catch by Darren Sproles",-2.490,-2.460
4,13:49,1,10,CLE 47,10,22,"Ryan Mathews right end for 2 yards (tackle by Demario Davis). Penalty on Lane Johnson: Offensive Holding, 10 yards (no play)",2.460,1.800
4,13:24,1,20,PHI 43,10,22,Ryan Mathews left end for 2 yards (tackle by Carl Nassib),1.800,0.830
4,12:43,2,18,PHI 45,10,22,Carson Wentz for 1 yard,0.830,0.300
4,12:07,3,17,PHI 46,10,22,Carson Wentz pass complete short right to Darren Sproles for 9 yards (tackle by Christian Kirksey),0.300,0.270
4,11:41,4,8,CLE 45,10,22,"Donnie Jones punts 45 yards, touchback",0.270,-0.280
4,11:33,1,10,CLE 20,10,22,Robert Griffin pass incomplete short right intended for Terrelle Pryor,0.280,-0.270
4,11:30,2,10,CLE 20,10,22,Robert Griffin sacked by Connor Barwin for -10 yards,-0.270,-2.590
4,10:48,3,20,CLE 10,10,22,Duke Johnson middle for 11 yards (tackle by Rodney McLeod),-2.590,-1.960
4,10:08,4,9,CLE 21,10,22,"Britton Colquitt punts 58 yards, returned by Darren Sproles for 8 yards (tackle by Isaiah Crowell)",-1.960,-0.870
4,9:57,1,10,PHI 29,10,22,Carson Wentz pass complete short right to Jordan Matthews for 9 yards (tackle by Joe Haden),0.870,1.540
4,9:13,2,1,PHI 38,10,22,Ryan Mathews left end for 7 yards (tackle by Carl Nassib),1.540,1.930
4,8:28,1,10,PHI 45,10,22,Ryan Mathews right end for 5 yards (tackle by Xavier Cooper),1.930,2.060
4,7:42,2,5,,10,22,"Carson Wentz pass incomplete short right intended for Jordan Matthews (defended by Joe Haden). Carson Wentz fumbles, recovered by Carson Wentz at PHI-42",2.060,1.360
4,7:36,3,5,,10,22,Carson Wentz pass complete short right to Jordan Matthews for 16 yards (tackle by Joe Haden),1.360,3.310
4,6:51,1,10,CLE 34,10,22,Darren Sproles right end for -3 yards (tackle by Jamie Meder and Danny Shelton),3.310,3.310
4,6:08,1,10,CLE 34,10,22,Timeout #1 by Philadelphia Eagles,3.310,2.370
4,6:08,2,13,CLE 37,10,22,Carson Wentz pass complete short left to Nelson Agholor for 7 yards (tackle by Jamar Taylor),2.370,2.610
4,5:25,3,6,CLE 30,10,22,"Penalty on Carson Wentz: False Start, 5 yards (no play)",2.610,1.950
4,5:04,3,11,CLE 35,10,22,"Penalty on Jason Peters: False Start, 5 yards (no play)",1.950,1.290
4,4:40,3,16,CLE 40,10,22,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Joe Schobert),1.290,0.590
4,4:35,4,16,CLE 40,10,22,Donnie Jones punts 32 yards,0.590,0.380
4,4:26,1,10,CLE 8,10,22,"Robert Griffin sacked by Brandon Graham for -5 yards. Robert Griffin fumbles (forced by Brandon Graham), recovered by Robert Griffin at CLE-4",-0.380,-1.070
4,3:53,2,14,CLE 4,10,22,Robert Griffin pass incomplete short left intended for Duke Johnson,-1.070,-1.890
4,3:49,3,14,CLE 4,10,22,Robert Griffin right end for 11 yards (tackle by Jalen Mills),-1.890,-2.440
4,3:41,4,3,CLE 15,10,22,Robert Griffin pass incomplete short left intended for Andrew Hawkins,-2.440,-4.580
4,3:36,1,10,CLE 15,10,22,Ryan Mathews middle for 6 yards (tackle by Demario Davis),4.580,5.030
4,2:54,2,4,CLE 9,10,22,Ryan Mathews right end for 6 yards (tackle by Ibraheim Campbell),5.030,6.510
4,2:11,1,3,CLE 3,10,22,Ryan Mathews right end for 1 yard (tackle by Demario Davis),6.510,5.720
4,2:00,2,2,CLE 2,10,22,Ryan Mathews right tackle for 1 yard (tackle by Xavier Cooper),5.720,5.170
4,1:19,3,1,CLE 1,10,22,Ryan Mathews right end for no gain (tackle by Demario Davis). Penalty on Nate Orchard: Defensive Offside (no play),5.170,5.170
4,1:16,3,1,CLE 1,10,28,"Ryan Mathews left end for 1 yard, touchdown",5.170,7.000
4,1:16,,,CLE 1,10,29,Caleb Sturgis kicks extra point good,0.000,0.000
4,1:16,,,PHI 35,10,29,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
4,1:12,1,10,CLE 25,10,29,Isaiah Crowell middle for 16 yards (tackle by Rodney McLeod),0.610,1.660
4,0:37,1,10,CLE 41,10,29,Isaiah Crowell middle for 20 yards (tackle by Jordan Hicks),1.660,2.980
4,0:07,1,10,PHI 39,10,29,Isaiah Crowell middle for 4 yards (tackle by Fletcher Cox),2.980,2.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
