Unnamed: 0,CLE,PHI
First Downs,14,23
Rush-Yds-TDs,21-120-1,34-133-1
Cmp-Att-Yd-TD-INT,12-26-190-0-1,22-37-278-2-0
Sacked-Yards,3-22,2-8
Net Pass Yards,168,270
Total Yards,288,403
Fumbles-Lost,2-0,2-0
Turnovers,1,0
Penalties-Yards,4-15,7-46
Third Down Conv.,2-10,5-15
Fourth Down Conv.,0-2,1-1
Time of Possession,20:40,39:20
