Unnamed: 0,WAS,PHI
First Downs,16,24
Rush-Yds-TDs,23-107-2,26-95-0
Cmp-Att-Yd-TD-INT,14-21-234-2-1,32-46-314-1-1
Sacked-Yards,2-7,4-26
Net Pass Yards,227,288
Total Yards,334,383
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,5-86,5-54
Third Down Conv.,2-7,9-18
Fourth Down Conv.,1-1,2-3
Time of Possession,23:22,36:38
