Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, returned by Wendell Smallwood for 27 yards (tackle by Duke Ihenacho)",0.000,-0.740
1,14:53,1,10,PHI 27,0,0,Carson Wentz pass complete short left to Zach Ertz for 13 yards (tackle by Duke Ihenacho),0.740,1.600
1,14:17,1,10,PHI 40,0,0,Ryan Mathews middle for 5 yards (tackle by Mason Foster),1.600,1.730
1,13:44,2,5,PHI 45,0,0,Wendell Smallwood left end for -1 yards (tackle by William Compton),1.730,0.890
1,13:07,3,6,PHI 44,0,0,Carson Wentz pass complete short right to Jordan Matthews for 10 yards (tackle by Quinton Dunbar),0.890,2.520
1,12:21,1,10,WAS 46,0,0,Carson Wentz pass complete short left to Zach Ertz for 9 yards (tackle by Duke Ihenacho),2.520,3.190
1,11:44,2,1,WAS 37,0,0,Carson Wentz for 3 yards (tackle by Donte Whitner),3.190,3.310
1,11:08,1,10,WAS 34,0,0,Ryan Mathews left guard for 4 yards (tackle by Donte Whitner and Evander Hood),3.310,3.310
1,10:32,2,6,WAS 30,0,0,Ryan Mathews left tackle for 3 yards (tackle by Su'a Cravens),3.310,3.010
1,9:54,3,3,WAS 27,0,0,Carson Wentz pass incomplete short right intended for Brent Celek,3.010,0.000
1,9:49,,,,0,0,Timeout #1 by Philadelphia Eagles,0.000,-1.770
1,9:49,4,3,WAS 27,0,3,Caleb Sturgis 45 yard field goal good,1.770,3.000
1,9:46,,,PHI 35,0,3,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
1,9:46,1,10,WAS 25,0,3,Robert Kelley right end for 6 yards (tackle by Nigel Bradham),0.610,0.870
1,9:08,2,4,WAS 31,0,3,Robert Kelley right end for 2 yards (tackle by Brandon Graham),0.870,0.430
1,8:24,3,2,WAS 33,0,3,Kirk Cousins pass incomplete short left intended for Jamison Crowder (defended by Leodis McKelvin),0.430,-1.180
1,8:17,4,2,WAS 33,0,3,"Tress Way punts 47 yards, out of bounds",-1.180,-0.280
1,8:08,1,10,PHI 20,0,3,"Carson Wentz pass incomplete deep left intended for Nelson Agholor. Penalty on Quinton Dunbar: Defensive Pass Interference, 44 yards (no play)",0.280,3.180
1,8:02,1,10,WAS 36,0,3,Carson Wentz pass complete short right to Zach Ertz for 13 yards (tackle by Mason Foster),3.180,4.040
1,7:21,1,10,WAS 23,0,3,Carson Wentz pass complete short middle to Trey Burton for 3 yards (tackle by Bashaud Breeland),4.040,3.900
1,6:38,2,7,WAS 20,0,3,Ryan Mathews left end for 2 yards (tackle by Trent Murphy),3.900,3.490
1,5:58,3,5,WAS 18,0,3,Carson Wentz pass complete short right to Jordan Matthews for 10 yards (tackle by William Compton),3.490,5.370
1,5:20,1,8,WAS 8,0,3,Carson Wentz pass incomplete short left intended for Jordan Matthews,5.370,4.570
1,5:15,2,8,WAS 8,0,3,Wendell Smallwood middle for 5 yards (tackle by Duke Ihenacho),4.570,4.720
1,4:33,3,3,WAS 3,0,3,Carson Wentz pass incomplete short left intended for Zach Ertz is intercepted by Deshazor Everett at WAS--2,4.720,-0.280
1,4:30,1,10,WAS 20,0,3,Kirk Cousins pass complete short right to Pierre Garcon for 16 yards (tackle by Leodis McKelvin),0.280,1.330
1,3:49,1,10,WAS 36,0,3,Robert Kelley left end for 2 yards (tackle by Fletcher Cox),1.330,1.060
1,3:09,2,8,WAS 38,0,3,"Kirk Cousins pass incomplete deep left intended for DeSean Jackson. Penalty on Malcolm Jenkins: Defensive Pass Interference, 24 yards (no play)",1.060,3.050
1,3:05,1,10,PHI 38,0,3,Kirk Cousins pass complete short left to Vernon Davis for 1 yard (tackle by Nolan Carroll),3.050,2.640
1,2:35,2,9,PHI 37,0,3,Kirk Cousins pass complete short left to Pierre Garcon for 15 yards (tackle by Rodney McLeod),2.640,4.110
1,1:56,1,10,PHI 22,0,3,Robert Kelley middle for 2 yards (tackle by Jordan Hicks),4.110,3.830
1,1:17,2,8,PHI 20,0,3,Kirk Cousins pass incomplete deep left intended for Vernon Davis,3.830,3.140
1,1:12,3,8,PHI 20,0,3,Kirk Cousins pass incomplete short right intended for Jamison Crowder (defended by Leodis McKelvin),3.140,2.120
1,1:09,4,8,PHI 20,0,3,Dustin Hopkins 38 yard field goal no good,2.120,-0.870
1,1:05,1,10,PHI 29,0,3,Carson Wentz pass complete short left to Nelson Agholor for 9 yards (tackle by Quinton Dunbar),0.870,1.540
1,0:31,2,1,PHI 38,0,3,Wendell Smallwood left end for -1 yards (tackle by Trent Murphy),1.540,0.700
Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,PHI 37,0,3,Ryan Mathews middle for 2 yards (tackle by Chris Baker),0.700,1.530
2,14:19,1,10,PHI 39,0,3,Carson Wentz pass complete deep left to Zach Ertz for 29 yards (tackle by Duke Ihenacho),1.530,3.450
2,13:33,1,10,WAS 32,0,3,Darren Sproles left end for 3 yards (tackle by Ricky Jean-Francois),3.450,3.310
2,12:55,2,7,WAS 29,0,3,Carson Wentz pass complete short left to Brent Celek for 9 yards (tackle by William Compton),3.310,4.240
