Unnamed: 0,PIT,SDG
First Downs,25,20
Rush-Yds-TDs,32-104-2,21-66-1
Cmp-Att-Yd-TD-INT,17-26-225-1-0,20-35-219-1-1
Sacked-Yards,3-18,1-6
Net Pass Yards,207,213
Total Yards,311,279
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,11-104,9-100
Third Down Conv.,4-10,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:23,26:37
