Quarter,Time,Down,ToGo,Location,ATL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 69 yards, returned by Allen Rossum for 43 yards (tackle by Tod McBride)",0.000,1.860
1,14:51,1,10,ATL 44,0,0,Warrick Dunn middle for 1 yard (tackle by Antuan Edwards and Nate Wayne),1.860,1.450
1,14:16,2,9,ATL 45,0,0,Michael Vick pass complete to Warrick Dunn for 4 yards (tackle by Tyrone Williams and Na'il Diggs),1.450,1.290
1,13:34,3,5,ATL 49,0,0,Michael Vick right tackle for 2 yards (tackle by Jamal Reynolds),1.290,0.000
1,13:00,4,3,GNB 49,0,0,"Chris Mohr punts 36 yards, fair catch by Darrien Gordon",0.000,0.320
1,12:53,1,10,GNB 13,0,0,Ahman Green right guard for 4 yards (tackle by Patrick Kerney),-0.320,-0.300
1,12:19,2,6,GNB 17,0,0,Brett Favre pass complete to David Martin for 4 yards (tackle by Keith Brooking),-0.300,-0.470
1,11:42,3,2,GNB 21,0,0,Ahman Green right end for 6 yards (tackle by Ray Buchanan and John Holecek),-0.470,0.740
1,11:12,1,10,GNB 27,0,0,Ahman Green middle for 3 yards (tackle by Patrick Kerney and Gerald McBurrows),0.740,0.600
1,10:32,2,7,GNB 30,0,0,Brett Favre pass complete to Terry Glenn for 18 yards (tackle by Gerald McBurrows),0.600,2.130
1,10:01,1,10,GNB 48,0,0,Ahman Green right tackle for 2 yards (tackle by Matt Stewart and Keith Brooking),2.130,1.850
1,9:23,2,8,ATL 50,0,0,Brett Favre pass complete to William Henderson for 6 yards (tackle by Brady Smith),1.850,1.950
1,8:37,3,2,ATL 44,0,0,Brett Favre pass complete to Ahman Green for 4 yards (tackle by Keith Brooking),1.950,2.920
1,7:52,1,10,ATL 40,0,0,Javon Walker left end for 11 yards (tackle by Gerald McBurrows),2.920,3.640
1,7:03,1,10,ATL 29,0,0,Rondell Mealey middle for -1 yards (tackle by Patrick Kerney and Sam Rogers),3.640,2.970
1,6:18,2,11,ATL 30,0,0,Rondell Mealey right tackle for 12 yards (tackle by Keion Carpenter and Johndale Carty),2.970,4.370
1,5:39,1,10,ATL 18,0,0,Ahman Green right end for no gain (tackle by Patrick Kerney),4.370,3.800
1,4:53,2,10,ATL 18,0,0,Brett Favre pass incomplete intended for Donald Driver (defended by Juran Bolden),3.800,3.050
1,4:49,3,10,ATL 18,0,0,Brett Favre pass complete to Donald Driver for 8 yards (tackle by Keion Carpenter),3.050,2.890
1,4:11,4,2,ATL 10,0,3,Ryan Longwell 28 yard field goal good,2.890,3.000
1,4:11,,,GNB 30,0,3,"Ryan Longwell kicks off 71 yards, returned by Allen Rossum for 22 yards (tackle by Torrance Marshall)",0.000,0.340
1,4:04,1,10,ATL 21,0,3,Warrick Dunn left end for 1 yard (tackle by Nate Wayne),0.340,-0.070
1,3:22,2,9,ATL 22,0,3,"Penalty on Todd Weiner: False Start, 5 yards (no play)",-0.070,-0.860
1,3:01,2,14,ATL 17,0,3,Michael Vick right end for 18 yards (tackle by Antuan Edwards),-0.860,1.270
1,2:31,1,10,ATL 35,0,3,Warrick Dunn right end for 5 yards (tackle by Mike McKenzie and Hardy Nickerson),1.270,1.400
1,1:46,2,5,ATL 40,0,3,Michael Vick pass complete to Willie Jackson for 9 yards (tackle by Antuan Edwards),1.400,2.190
1,0:59,1,10,ATL 49,0,3,Michael Vick sacked by Vonnie Holliday for -3 yards,2.190,1.240
1,0:23,2,13,ATL 46,0,3,Michael Vick pass complete to Warrick Dunn for 14 yards (tackle by Darren Sharper),1.240,2.920
Quarter,Time,Down,ToGo,Location,ATL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 40,0,3,Michael Vick pass complete to Warrick Dunn for 3 yards (tackle by Nate Wayne and Gilbert Brown),2.920,2.780
2,14:21,2,7,GNB 37,0,3,Michael Vick right end for 14 yards (tackle by Darren Sharper),2.780,4.040
2,13:37,1,10,GNB 23,0,3,Warrick Dunn right end for 6 yards (tackle by Nate Wayne),4.040,4.380
2,12:55,2,4,GNB 17,0,3,T.J. Duckett left guard for 12 yards (tackle by Tyrone Williams and Nate Wayne),4.380,6.060
2,12:11,1,5,GNB 5,0,3,T.J. Duckett right tackle for 3 yards (tackle by Antuan Edwards),6.060,5.720
2,11:33,2,2,GNB 2,6,3,"Michael Vick left end for 2 yards, touchdown",5.720,7.000
2,11:33,,,GNB 2,7,3,Jay Feely kicks extra point good,0.000,0.000
2,11:33,,,ATL 30,7,3,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
2,11:26,1,10,GNB 20,7,3,Brett Favre pass incomplete intended for Ahman Green,0.280,-0.270
2,11:22,2,10,GNB 20,7,3,"Ahman Green middle for 8 yards (tackle by Keion Carpenter). Ahman Green fumbles (forced by Keion Carpenter), recovered by Keion Carpenter at GNB-28 (tackle by Frank Winters)",-0.270,-3.710
,,,,,,,"GNB challenged the ruling, and the play was upheld.",,
2,11:14,1,10,GNB 28,7,3,"Michael Vick pass incomplete intended for Willie Jackson (defended by Tyrone Williams). Penalty on Travis Claridge: Offensive Holding, 10 yards (no play)",3.710,3.050
2,11:06,1,20,GNB 38,7,3,Michael Vick pass complete to Warrick Dunn for -2 yards (tackle by Nate Wayne),3.050,1.550
2,10:23,2,22,GNB 40,7,3,Michael Vick pass complete to Willie Jackson for 29 yards (tackle by Hardy Nickerson),1.550,4.840
2,9:36,1,10,GNB 11,7,3,Michael Vick pass complete to Brian Finneran for 8 yards (tackle by Tyrone Williams and Gilbert Brown),4.840,5.660
2,8:47,2,2,GNB 3,13,3,"Warrick Dunn right tackle for 3 yards, touchdown",5.660,7.000
2,8:47,,,GNB 3,14,3,Jay Feely kicks extra point good,0.000,0.000
2,8:47,,,ATL 30,14,3,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
2,8:43,1,10,GNB 20,14,3,"Brett Favre pass incomplete intended for Donald Driver (defended by Gerald McBurrows). Penalty on Gerald McBurrows: Defensive Pass Interference, 52 yards (no play)",0.280,3.710
2,8:33,1,10,ATL 28,14,3,Brett Favre pass incomplete intended for William Henderson,3.710,3.170
2,8:30,2,10,ATL 28,14,3,Ahman Green right tackle for 2 yards (tackle by Ed Jasper and Patrick Kerney),3.170,2.740
2,7:50,3,8,ATL 26,14,3,Brett Favre pass complete to Donald Driver for 15 yards (tackle by Keion Carpenter and Keith Brooking),2.740,4.840
2,7:12,1,10,ATL 11,14,3,Brett Favre pass complete to Ahman Green for 5 yards (tackle by Keith Brooking),4.840,5.080
2,6:46,2,5,ATL 6,14,3,"Ahman Green middle for 3 yards (tackle by Gerald McBurrows). Ahman Green fumbles (forced by Gerald McBurrows), recovered by David Martin at ATL-3",5.080,4.890
2,5:54,3,2,ATL 3,14,9,"Brett Favre pass complete to David Martin for 3 yards, touchdown",4.890,7.000
2,5:54,,,ATL 3,14,10,Ryan Longwell kicks extra point good,0.000,0.000
2,5:54,,,GNB 30,14,10,--,0.000,1.140
2,5:46,1,10,ATL 33,14,10,"Michael Vick pass complete to Willie Jackson for 12 yards (tackle by Antuan Edwards). Willie Jackson fumbles (forced by Antuan Edwards), recovered by Mike McKenzie at GNB-37 (tackle by Brian Finneran)",1.140,-1.400
2,5:35,1,10,GNB 37,14,10,Ahman Green left end for 38 yards (tackle by Keion Carpenter),1.400,3.910
2,5:04,1,10,ATL 25,14,10,Brett Favre pass incomplete intended for Terry Glenn (defended by Ray Buchanan),3.910,3.360
2,4:59,1,10,ATL 25,,,Timeout #2 by Green Bay Packers,3.910,3.360
2,4:59,2,10,ATL 25,14,10,Brett Favre pass incomplete intended for Terry Glenn (defended by Ray Buchanan),3.360,2.680
2,4:55,3,10,ATL 25,14,10,Ahman Green left guard for 1 yard (tackle by Ed Jasper and Brady Smith),2.680,1.870
2,4:20,4,9,ATL 24,14,10,Ryan Longwell 42 yard field goal no good,1.870,-1.070
2,4:16,1,10,ATL 32,14,10,T.J. Duckett right end for 2 yards (tackle by Nate Wayne),1.070,0.800
2,3:33,2,8,ATL 34,14,10,Michael Vick right tackle for 7 yards (tackle by Hardy Nickerson),0.800,1.030
2,2:42,2,8,ATL 34,,,Timeout #1 by Atlanta Falcons,0.800,1.030
