Unnamed: 0,ATL,GNB
First Downs,22,29
Rush-Yds-TDs,30-180-3,38-211-2
Cmp-Att-Yd-TD-INT,15-23-209-1-0,25-36-284-2-0
Sacked-Yards,4-15,2-11
Net Pass Yards,194,273
Total Yards,374,484
Fumbles-Lost,2-1,3-1
Turnovers,1,1
Penalties-Yards,4-82,3-15
Third Down Conv.,4-8,8-15
Fourth Down Conv.,0-0,1-1
Time of Possession,30:55,38:50
