Unnamed: 0,OAK,MIA
First Downs,21,13
Rush-Yds-TDs,49-299-3,20-141-1
Cmp-Att-Yd-TD-INT,5-12-75-2-0,14-25-158-1-2
Sacked-Yards,1-5,2-21
Net Pass Yards,70,137
Total Yards,369,278
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,2-15,5-34
Third Down Conv.,9-15,3-11
Fourth Down Conv.,2-3,2-2
Time of Possession,35:07,24:53
