Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 67 yards, returned by Michael Walker for 23 yards (tackle by Rolan Milligan)",0.000,0.340
1,14:55,1,10,JAX 21,0,0,Nick Foles pass complete short left to DJ Chark for 12 yards (tackle by Rock Ya-Sin),0.340,1.140
1,14:18,1,10,JAX 33,0,0,Leonard Fournette up the middle for 10 yards (tackle by Darius Leonard and Malik Hooker),1.140,1.800
1,13:35,1,10,JAX 43,0,0,"Nick Foles pass complete short right to Ben Koyack for no gain (tackle by Bobby Okereke). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (no play)",1.800,1.140
1,13:04,1,20,JAX 33,0,0,Leonard Fournette right end for 4 yards (tackle by Rock Ya-Sin),1.140,0.440
1,12:23,2,16,JAX 37,0,0,Nick Foles pass complete short right to Chris Conley for 6 yards (tackle by Rock Ya-Sin),0.440,0.560
1,11:45,3,10,JAX 43,0,0,Nick Foles pass incomplete deep middle intended for Keelan Cole,0.560,-0.520
1,11:39,4,10,JAX 43,0,0,Logan Cooke punts 50 yards downed by Lerentee McCray,-0.520,0.380
1,11:27,1,10,IND 7,0,0,Jacoby Brissett pass incomplete short right,-0.380,-0.780
1,11:22,2,10,IND 7,0,0,Marlon Mack right guard for 7 yards (tackle by Najee Goode and Myles Jack),-0.780,-0.600
1,10:40,3,3,IND 14,0,0,Jacoby Brissett sacked by Josh Allen for -7 yards,-0.600,-2.490
1,10:06,4,10,IND 7,0,0,"Rigoberto Sanchez punts 43 yards, returned by Dede Westbrook for no gain (tackle by Anthony Walker and Zaire Franklin). Penalty on Andrew Wingard: Offensive Holding, 10 yards",-2.490,-1.600
1,9:55,1,10,JAX 40,0,0,Ryquell Armstead left end for 6 yards (tackle by Trevon Coley and Darius Leonard),1.600,1.860
1,9:17,2,4,JAX 46,0,0,Leonard Fournette left guard for no gain (tackle by Ben Banogu and Al-Quadin Muhammad),1.860,1.160
1,8:31,3,4,JAX 46,0,0,Nick Foles pass complete short left to Dede Westbrook for 15 yards (tackle by Kenny Moore),1.160,2.980
1,7:48,1,10,IND 39,0,0,Nick Foles pass complete short right to Josh Oliver for 5 yards (tackle by Kenny Moore),2.980,3.120
1,7:02,2,5,IND 34,6,0,"Nick Foles pass complete short middle to DJ Chark for 34 yards, touchdown",3.120,7.000
1,6:53,,,IND 15,7,0,Josh Lambo kicks extra point good,0.000,0.000
1,6:53,,,JAX 35,7,0,"Logan Cooke kicks off 66 yards, returned by Nyheim Hines for 25 yards (tackle by Austin Calitro)",0.000,0.540
1,6:47,1,10,IND 24,7,0,Marlon Mack right end for 4 yards (tackle by Yannick Ngakoue),0.540,0.540
1,6:16,2,6,IND 28,7,0,Marlon Mack up the middle for 13 yards (tackle by Najee Goode and Jarrod Wilson),0.540,1.660
1,5:35,1,10,IND 41,7,0,Marlon Mack right end for 6 yards (tackle by Myles Jack),1.660,1.930
1,4:58,2,4,IND 47,7,0,Marlon Mack up the middle for 16 yards (tackle by D.J. Hayden),1.930,3.120
1,4:11,1,10,JAX 37,7,0,Jonathan Williams left end for 2 yards (tackle by Najee Goode),3.120,2.840
1,3:32,2,8,JAX 35,7,0,"Penalty on Mark Glowinski: False Start, 5 yards (no play)",2.840,2.170
1,3:19,2,13,JAX 40,7,0,Jacoby Brissett pass complete short right to Zach Pascal for 14 yards (tackle by Jarrod Wilson),2.170,3.840
1,2:44,1,10,JAX 26,7,0,Marlon Mack left end for no gain (tackle by D.J. Hayden),3.840,3.300
1,1:58,2,10,JAX 26,7,0,Jacoby Brissett pass incomplete short left intended for Nyheim Hines,3.300,2.610
1,1:55,3,10,JAX 26,7,0,Jacoby Brissett pass complete short middle to Chester Rogers for 11 yards (tackle by Jarrod Wilson),2.610,4.580
1,1:14,1,10,JAX 15,7,0,Jacoby Brissett pass complete short middle to Nyheim Hines for 2 yards (tackle by Ronnie Harrison),4.580,4.280
1,0:45,2,8,JAX 13,7,6,"Marlon Mack up the middle for 13 yards, touchdown",4.280,7.000
1,0:35,,,JAX 15,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,0:35,,,IND 35,7,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,0:35,1,10,JAX 25,7,7,Nick Foles pass complete short right to DJ Chark for 9 yards (tackle by Rock Ya-Sin),0.610,1.280
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,JAX 34,7,7,"Penalty on Andrew Norwell: False Start, 5 yards (no play)",1.280,0.600
2,15:00,2,6,JAX 29,7,7,Leonard Fournette up the middle for 8 yards (tackle by Anthony Walker and Grover Stewart),0.600,1.400
2,14:18,1,10,JAX 37,7,7,Leonard Fournette up the middle for 2 yards (tackle by Clayton Geathers and Rock Ya-Sin),1.400,1.130
2,13:31,2,8,JAX 39,7,7,Nick Foles pass incomplete deep left intended for DJ Chark (defended by Marvell Tell),1.130,0.430
2,13:26,3,8,JAX 39,7,7,Nick Foles sacked by Kenny Moore for -9 yards,0.430,-1.370
2,12:47,4,17,JAX 30,7,7,"Logan Cooke punts 48 yards, returned by Chester Rogers for 8 yards (tackle by Jarrod Wilson)",-1.370,-0.940
2,12:37,1,10,IND 30,7,7,Jacoby Brissett pass incomplete short right intended for Zach Pascal (defended by Tre Herndon),0.940,0.390
2,12:34,2,10,IND 30,7,7,Marlon Mack right end for 13 yards (tackle by Ronnie Harrison),0.390,1.800
2,11:56,1,10,IND 43,7,7,Jacoby Brissett pass complete short right to Eric Ebron for 14 yards (tackle by D.J. Hayden),1.800,2.720
2,11:46,1,10,JAX 43,7,7,Jonathan Williams up the middle for 3 yards (tackle by Yannick Ngakoue),2.720,2.580
2,11:05,2,7,JAX 40,7,7,Jonathan Williams left tackle for 16 yards (tackle by Najee Goode),2.580,3.970
2,10:25,1,10,JAX 24,7,7,Marlon Mack up the middle for 3 yards (tackle by Akeem Spence),3.970,3.840
2,9:46,2,7,JAX 21,7,7,Marlon Mack right tackle for 5 yards (tackle by Tre Herndon),3.840,3.950
2,9:09,3,2,JAX 16,7,7,Jacoby Brissett pass complete short left to Eric Ebron for no gain (tackle by A.J. Bouye),3.950,2.500
2,8:30,4,2,JAX 16,7,10,Adam Vinatieri 34 yard field goal good,2.500,3.000
2,8:26,,,IND 35,7,10,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,8:26,1,10,JAX 25,7,10,Nick Foles pass complete short right to DJ Chark for 5 yards (tackle by Kenny Moore),0.610,0.740
2,7:48,2,5,JAX 30,7,10,Nick Foles pass complete short left to Leonard Fournette for 1 yard (tackle by Anthony Walker and Bobby Okereke),0.740,0.170
2,7:02,3,4,JAX 31,7,10,Nick Foles pass complete short right to Dede Westbrook for 3 yards (tackle by Kenny Moore),0.170,-1.110
2,6:19,4,1,JAX 34,7,10,"Logan Cooke punts 47 yards, returned by Chester Rogers for 1 yard (tackle by Brandon Watson)",-1.110,-0.280
2,6:08,1,10,IND 20,7,10,Marlon Mack left end for 3 yards (tackle by Myles Jack),0.280,0.140
2,5:25,2,7,IND 23,7,10,Jacoby Brissett sacked by D.J. Hayden for -9 yards,0.140,-2.030
2,4:46,3,16,IND 14,7,10,Jacoby Brissett pass complete short left to Marcus Johnson for 10 yards (tackle by Myles Jack),-2.030,-1.770
2,4:01,4,6,IND 24,7,10,Rigoberto Sanchez punts 42 yards out of bounds,-1.770,-1.200
2,3:54,1,10,JAX 34,7,10,Nick Foles pass incomplete deep right intended for DJ Chark,1.200,0.660
2,3:49,2,10,JAX 34,7,10,Nick Foles pass complete short right to Leonard Fournette for 3 yards (tackle by Khari Willis),0.660,0.370
2,3:19,3,7,JAX 37,7,10,Nick Foles pass incomplete deep middle intended for DJ Chark,0.370,-0.910
2,3:14,4,7,JAX 37,7,10,"Logan Cooke punts 48 yards, fair catch by Chester Rogers at IND-15",-0.910,0.220
2,3:07,1,10,IND 15,7,10,Jacoby Brissett pass incomplete deep right intended for Zach Pascal,-0.220,-0.710
2,3:02,2,10,IND 15,7,10,Jacoby Brissett left end for 7 yards (tackle by A.J. Bouye),-0.710,-0.510
2,2:18,3,3,IND 22,7,10,Jacoby Brissett pass complete short left to Nyheim Hines for 3 yards (tackle by Myles Jack),-0.510,0.610
2,2:00,1,10,IND 25,7,10,Jacoby Brissett pass complete short middle to Eric Ebron for 7 yards (tackle by Myles Jack),0.610,1.010
2,1:40,2,3,IND 32,7,10,"Jacoby Brissett sacked by Yannick Ngakoue for -7 yards. Jacoby Brissett fumbles (forced by Yannick Ngakoue), recovered by Mark Glowinski at IND-23 (tackle by Taven Bryan)",1.010,-0.890
2,1:11,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,1:11,3,12,IND 23,7,10,Jacoby Brissett pass incomplete deep right. Penalty on Braden Smith: Offensive Holding (Declined),-0.890,-1.830
2,1:04,4,12,IND 23,7,10,"Rigoberto Sanchez punts 44 yards, fair catch by Dede Westbrook at JAC-33. Penalty on Donald Payne: Offensive Holding, 10 yards",-1.830,-0.480
2,0:57,1,10,JAX 23,7,10,Nick Foles pass deep right intended for DJ Chark is intercepted by Rock Ya-Sin at IND-42 and returned for no gain,0.480,-1.730
2,0:46,1,10,IND 42,7,10,"Jacoby Brissett pass incomplete short right intended for Zach Pascal. Penalty on Tre Herndon: Defensive Pass Interference, 13 yards (no play)",1.730,2.590
2,0:41,1,10,JAX 45,7,10,Jacoby Brissett pass complete short right to Eric Ebron for 6 yards (tackle by Ronnie Harrison),2.590,2.850
2,0:33,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:33,2,4,JAX 39,7,10,Jacoby Brissett pass incomplete deep right intended for Zach Pascal (defended by Tre Herndon),2.850,2.150
2,0:28,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:28,3,4,JAX 39,7,10,Jacoby Brissett pass incomplete short right,2.150,0.660
2,0:21,4,4,JAX 39,7,10,Jacoby Brissett pass incomplete short left intended for Chester Rogers,0.660,-1.530
2,0:17,1,10,JAX 39,7,10,Nick Foles pass complete short right to Keelan Cole for 12 yards (tackle by Shakial Taylor),1.530,2.320
2,0:12,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:12,1,10,IND 49,7,10,Nick Foles pass incomplete deep right,2.320,1.780
2,0:07,2,10,IND 49,7,10,Nick Foles pass complete short right to DJ Chark for 1 yard (tackle by Shakial Taylor),1.780,1.220
2,0:02,3,9,IND 48,7,10,Nick Foles pass complete short right to DJ Chark for 18 yards (tackle by Darius Leonard and Shakial Taylor),1.220,1.200
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,7,10,"Logan Cooke kicks off 61 yards, returned by Nyheim Hines for 19 yards (tackle by Donald Payne)",0.000,0.480
3,14:56,1,10,IND 23,7,10,Jacoby Brissett pass complete short right to Marcus Johnson for 10 yards (tackle by Tre Herndon),0.480,1.140
3,14:39,1,10,IND 33,7,10,Marlon Mack up the middle for 4 yards (tackle by Yannick Ngakoue),1.140,1.130
3,14:03,2,6,IND 37,7,10,Marlon Mack left tackle for 2 yards (tackle by Najee Goode),1.130,0.700
3,13:24,3,4,IND 39,7,10,"Penalty on Braden Smith: False Start, 5 yards (no play)",0.700,0.040
3,13:02,3,9,IND 34,7,10,"Jacoby Brissett pass complete short left to Eric Ebron for 13 yards (tackle by A.J. Bouye). Penalty on Jack Doyle: Offensive Pass Interference, 10 yards (no play)",0.040,-1.290
3,12:43,3,19,IND 24,7,10,Jacoby Brissett pass complete short right to Jonathan Williams for 31 yards (tackle by Dawuane Smoot),-1.290,2.590
