Unnamed: 0,JAX,IND
First Downs,15,23
Rush-Yds-TDs,9-29-0,36-264-3
Cmp-Att-Yd-TD-INT,33-47-296-2-1,15-24-148-1-1
Sacked-Yards,2-17,3-23
Net Pass Yards,279,125
Total Yards,308,389
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,8-81,3-20
Third Down Conv.,6-14,4-11
Fourth Down Conv.,0-1,1-2
Time of Possession,26:08,33:52
