Unnamed: 0,HOU,CLE
First Downs,19,15
Rush-Yds-TDs,36-112-0,20-95-0
Cmp-Att-Yd-TD-INT,24-32-275-1-2,13-32-145-0-3
Sacked-Yards,1-4,0-0
Net Pass Yards,271,145
Total Yards,383,240
Fumbles-Lost,2-0,2-2
Turnovers,2,5
Penalties-Yards,11-84,5-40
Third Down Conv.,4-16,2-9
Fourth Down Conv.,3-3,1-1
Time of Possession,37:25,22:35
