Unnamed: 0,NYJ,BUF
First Downs,15,18
Rush-Yds-TDs,17-122-0,43-113-2
Cmp-Att-Yd-TD-INT,16-37-181-2-3,18-28-182-0-0
Sacked-Yards,1-3,2-0
Net Pass Yards,178,182
Total Yards,300,295
Fumbles-Lost,0-0,2-1
Turnovers,3,1
Penalties-Yards,6-41,4-45
Third Down Conv.,3-11,9-20
Fourth Down Conv.,0-0,2-2
Time of Possession,20:47,39:13
