Quarter,Time,Tm,Detail,NYJ,BUF
1.0,5:43,Bills,Tyrod Taylor 18 yard rush (Dan Carpenter kick),0,7
2.0,12:58,Bills,Karlos Williams 2 yard rush (Dan Carpenter kick failed),0,13
,9:39,Jets,Brandon Marshall 17 yard pass from Ryan Fitzpatrick (Randy Bullock kick),7,13
,0:23,Bills,Dan Carpenter 20 yard field goal,7,16
3.0,13:21,Jets,Randy Bullock 39 yard field goal,10,16
,5:02,Bills,Dan Carpenter 37 yard field goal,10,19
,1:10,Jets,Eric Decker 21 yard pass from Ryan Fitzpatrick (Randy Bullock kick),17,19
4.0,3:49,Bills,Dan Carpenter 42 yard field goal,17,22
