Unnamed: 0,KAN,OAK
First Downs,21,17
Rush-Yds-TDs,34-104-0,26-112-0
Cmp-Att-Yd-TD-INT,20-35-216-2-1,19-34-229-1-1
Sacked-Yards,3-16,4-20
Net Pass Yards,200,209
Total Yards,304,321
Fumbles-Lost,2-1,4-2
Turnovers,2,3
Penalties-Yards,12-100,15-140
Third Down Conv.,3-15,3-12
Fourth Down Conv.,0-1,0-1
Time of Possession,33:10,29:43
