Unnamed: 0,SDG,OAK
First Downs,14,9
Rush-Yds-TDs,48-194-2,20-87-0
Cmp-Att-Yd-TD-INT,8-11-108-1-0,8-19-96-0-0
Sacked-Yards,0-0,9-54
Net Pass Yards,108,42
Total Yards,302,129
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,3-25,7-54
Third Down Conv.,7-16,2-12
Fourth Down Conv.,1-1,0-1
Time of Possession,35:48,24:12
