Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
1,7:27,2,19,DEN 20,7,0,Jameis Winston pass complete short middle to Cameron Brate for 13 yards (tackle by Von Miller),3.070,3.980
1,6:47,3,6,DEN 7,7,6,"Jameis Winston middle for 7 yards, touchdown",3.980,7.000
1,6:47,,,DEN 7,7,7,Roberto Aguayo kicks extra point good,0.000,0.000
1,6:47,,,TAM 35,7,7,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
1,6:38,1,10,DEN 25,7,7,Trevor Siemian pass complete short right to Emmanuel Sanders for 12 yards (tackle by Brent Grimes),0.610,1.400
1,6:12,1,10,DEN 37,7,7,Trevor Siemian pass complete short right to Demaryius Thomas for 9 yards (tackle by Kwon Alexander and Brent Grimes),1.400,2.070
1,5:42,2,1,DEN 46,7,7,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders,2.070,1.360
1,5:36,3,1,DEN 46,7,7,C.J. Anderson middle for no gain (tackle by William Gholston),1.360,-0.320
1,4:59,4,1,DEN 46,7,7,"Riley Dixon punts 41 yards, fair catch by Adam Humphries",-0.320,0.320
1,4:50,1,10,TAM 13,7,7,Charles Sims right end for 6 yards (tackle by Aqib Talib),-0.320,0.030
1,4:14,2,4,TAM 19,7,7,Jameis Winston right end for 8 yards (tackle by Shane Ray),0.030,0.740
1,3:45,1,10,TAM 27,7,7,Jacquizz Rodgers left guard for 12 yards (tackle by Darian Stewart and T.J. Ward),0.740,1.530
1,3:09,1,10,TAM 39,7,7,Jameis Winston pass incomplete short middle intended for Alan Cross,1.530,0.990
1,3:02,2,10,TAM 39,7,7,Jacquizz Rodgers middle for -2 yards (tackle by Shaquil Barrett and Billy Winn),0.990,0.040
1,2:29,3,12,TAM 37,7,7,"Penalty on Donovan Smith: False Start, 5 yards (no play)",0.040,-0.630
1,2:09,3,17,TAM 32,7,7,Jameis Winston pass complete short left to Charles Sims for -2 yards (tackle by Jared Crick),-0.630,-1.370
1,1:28,4,19,TAM 30,7,7,"Bryan Anger punts 53 yards, fair catch by Jordan Norwood",-1.370,0.060
1,1:18,1,10,DEN 17,7,7,C.J. Anderson middle for -1 yards (tackle by Kwon Alexander),-0.060,-0.730
1,0:42,2,11,DEN 16,7,7,Trevor Siemian pass complete short left to Jeff Heuerman for 19 yards (tackle by Bradley McDougald),-0.730,1.270
1,0:07,1,10,DEN 35,7,7,C.J. Anderson left guard for 2 yards (tackle by Clinton McDonald and Gerald McCoy),1.270,0.990
Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DEN 37,7,7,Trevor Siemian sacked by Gerald McCoy and William Gholston for -11 yards,0.990,-1.150
2,14:19,3,19,DEN 26,7,7,Trevor Siemian pass incomplete short right intended for Bennie Fowler,-1.150,-1.630
2,14:10,4,19,DEN 26,7,7,"Riley Dixon punts 57 yards, returned by Adam Humphries for 11 yards (tackle by Jordan Taylor)",-1.630,-0.810
2,14:00,1,10,TAM 28,7,7,Jameis Winston pass incomplete short middle intended for Charles Sims,0.810,0.260
2,13:55,2,10,TAM 28,7,7,Charles Sims right tackle for no gain (tackle by Shaquil Barrett),0.260,-0.430
2,13:22,3,10,TAM 28,7,7,Jameis Winston pass incomplete short right intended for Mike Evans is intercepted by Aqib Talib at TAM-42 and returned for 15 yards,-0.430,-3.780
2,13:10,1,10,TAM 27,7,7,"Penalty on Russell Okung: False Start, 5 yards (no play)",3.780,3.450
2,13:10,1,15,TAM 32,7,7,Trevor Siemian pass complete deep left to Demaryius Thomas for 17 yards (tackle by Vernon Hargreaves),3.450,4.580
2,12:30,1,10,TAM 15,7,7,"Trevor Siemian pass incomplete short middle intended for Jordan Taylor. Penalty on Chris Conte: Defensive Pass Interference, 14 yards (no play)",4.580,6.970
2,12:24,1,1,TAM 1,7,7,Trevor Siemian pass incomplete short left intended for John Phillips. Penalty on Bradley McDougald: Defensive Pass Interference (no play),6.970,6.970
2,12:18,1,1,TAM 1,13,7,"C.J. Anderson left guard for 1 yard, touchdown",6.970,7.000
2,12:18,,,TAM 1,14,7,Brandon McManus kicks extra point good,0.000,0.000
2,12:18,,,DEN 35,14,7,"Brandon McManus kicks off 59 yards, returned by Ryan Smith for 11 yards (tackle by Dekoda Watson)",0.000,0.060
2,12:09,1,10,TAM 17,14,7,Jameis Winston pass complete short left to Mike Evans for 11 yards,-0.060,0.810
2,11:44,1,10,TAM 28,14,7,Jacquizz Rodgers right tackle for no gain (tackle by Shaquil Barrett),0.810,0.260
2,11:17,2,10,TAM 28,14,7,Jameis Winston sacked by Sylvester Williams for -7 yards,0.260,-1.350
2,10:37,3,17,TAM 21,14,7,"Jameis Winston pass incomplete deep right intended for Mike Evans. Penalty on Will Parks: Defensive Pass Interference, 24 yards (no play)",-1.350,1.930
2,10:30,1,10,TAM 45,14,7,Jameis Winston pass incomplete deep left intended for Vincent Jackson,1.930,1.380
2,10:24,2,10,TAM 45,14,7,Jacquizz Rodgers left guard for 7 yards (tackle by Dekoda Watson and Shaquil Barrett),1.380,1.620
2,9:44,3,3,DEN 48,14,7,"Penalty on Demar Dotson: False Start, 5 yards (no play)",1.620,0.960
2,9:29,3,8,TAM 47,14,7,"Jacquizz Rodgers middle for 3 yards (tackle by Brandon Marshall). Penalty on Joe Hawley: Offensive Holding, 10 yards",0.960,0.040
2,9:03,3,15,TAM 40,14,7,Jameis Winston pass complete short left to Cameron Brate for 8 yards (tackle by Chris Harris),0.040,-0.190
2,8:25,4,7,TAM 48,14,7,"Bryan Anger punts 35 yards, fair catch by Jordan Norwood",-0.190,0.060
2,8:17,1,10,DEN 17,14,7,"C.J. Anderson right end for 1 yard (tackle by Clinton McDonald). Penalty on Matt Paradis: Offensive Holding, 9 yards",-0.060,-0.680
2,7:58,1,18,DEN 9,14,7,Trevor Siemian sacked by Akeem Spence and Clinton McDonald for -1 yards,-0.680,-1.440
2,7:21,2,19,DEN 8,14,7,C.J. Anderson left guard for 2 yards (tackle by Kwon Alexander),-1.440,-2.240
2,6:40,3,17,DEN 10,14,7,C.J. Anderson middle for 12 yards (tackle by Bradley McDougald),-2.240,-1.900
2,6:07,4,5,DEN 22,14,7,"Riley Dixon punts 43 yards, returned by Adam Humphries for 15 yards (tackle by Corey Nelson)",-1.900,-2.260
2,5:54,1,10,,14,7,Charles Sims right guard for 1 yard (tackle by Brandon Marshall and Todd Davis),2.260,1.850
2,5:19,2,9,DEN 49,14,7,Jameis Winston pass incomplete deep middle intended for Mike Evans,1.850,1.850
2,5:09,2,9,DEN 49,14,7,Timeout #3 by Tampa Bay Buccaneers,1.850,1.160
2,5:09,3,9,DEN 49,14,7,Jameis Winston pass complete short left to Vincent Jackson for 14 yards (tackle by Bradley Roby),1.160,3.250
2,4:31,1,10,DEN 35,14,7,Jameis Winston pass incomplete short right intended for Adam Humphries (defended by Shaquil Barrett),3.250,2.700
2,4:24,2,10,DEN 35,14,7,Charles Sims right tackle for 4 yards (tackle by T.J. Ward and Brandon Marshall),2.700,2.540
2,3:40,3,6,DEN 31,14,7,"Jameis Winston pass incomplete deep right intended for Cameron Brate. Penalty on Von Miller: Defensive Offside, 5 yards (no play)",2.540,3.200
2,3:34,3,1,DEN 26,14,7,"Charles Sims middle for -4 yards (tackle by T.J. Ward). Charles Sims fumbles (forced by T.J. Ward), recovered by Billy Winn at DEN-30 and returned for 4 yards (tackle by Charles Sims)",3.200,-1.200
2,3:25,1,10,DEN 34,14,7,Trevor Siemian sacked by Clinton McDonald for -8 yards,1.200,-0.420
2,2:40,2,18,DEN 26,14,7,Devontae Booker left end for 11 yards (tackle by Vernon Hargreaves),-0.420,0.370
2,2:00,3,7,DEN 37,14,7,Paxton Lynch pass incomplete deep middle intended for Bennie Fowler,0.370,-0.910
2,1:54,4,7,DEN 37,14,7,"Riley Dixon punts 47 yards, fair catch by Adam Humphries. Penalty on DEN: Illegal Formation, 5 yards",-0.910,-0.340
2,1:46,1,10,TAM 21,14,7,Jameis Winston pass incomplete short left intended for Adam Humphries,0.340,-0.200
2,1:43,2,10,TAM 21,14,7,Jameis Winston pass complete short right to Vincent Jackson for 6 yards (tackle by Aqib Talib),-0.200,-0.100
2,1:38,3,4,TAM 27,14,7,Jameis Winston pass incomplete short right intended for Jacquizz Rodgers,-0.100,-1.570
2,1:31,4,4,TAM 27,14,7,"Bryan Anger punts 52 yards, returned by Jordan Norwood for 12 yards (tackle by Josh Robinson)",-1.570,-1.140
2,1:19,1,10,DEN 33,14,7,Paxton Lynch pass complete short middle to Jordan Norwood for 4 yards (tackle by Kwon Alexander),1.140,1.130
2,0:59,2,6,DEN 37,14,7,Paxton Lynch pass complete deep right to Emmanuel Sanders for 16 yards (tackle by Bradley McDougald),1.130,1.130
2,0:52,2,6,DEN 37,14,7,Timeout #1 by Denver Broncos,1.130,2.460
2,0:51,1,10,TAM 47,14,7,Paxton Lynch sacked by Kwon Alexander for 0 yards,2.460,1.910
2,0:45,2,10,TAM 47,14,7,Paxton Lynch pass incomplete short right intended for Emmanuel Sanders,1.910,1.220
2,0:40,3,10,TAM 47,14,7,Paxton Lynch pass complete short right to Emmanuel Sanders for 18 yards (tackle by Lavonte David),1.220,1.220
2,0:33,3,10,TAM 47,14,7,Timeout #2 by Denver Broncos,1.220,3.640
2,0:33,1,10,TAM 29,14,7,Paxton Lynch pass incomplete deep middle intended for Bennie Fowler (defended by Jude Adjei-Barimah),3.640,3.100
2,0:29,2,10,TAM 29,14,7,Paxton Lynch pass complete short left to Emmanuel Sanders for 9 yards (tackle by Vernon Hargreaves),3.100,3.100
2,0:15,2,10,TAM 29,14,7,Timeout #3 by Denver Broncos,3.100,3.600
2,0:15,3,1,TAM 20,14,7,Paxton Lynch pass incomplete deep right intended for Emmanuel Sanders (defended by Brent Grimes),3.600,2.270
2,0:09,4,1,TAM 20,17,7,Brandon McManus 38 yard field goal good,2.270,3.000
2,0:09,,,DEN 35,17,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,0:05,1,10,TAM 25,17,7,Jameis Winston kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,17,7,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,DEN 25,17,7,C.J. Anderson right guard for no gain (tackle by Clinton McDonald),0.610,0.060
3,14:29,2,10,DEN 25,17,7,Paxton Lynch pass complete short middle to Demaryius Thomas for 15 yards (tackle by Brent Grimes),0.060,1.600
3,13:52,1,10,DEN 40,17,7,Paxton Lynch pass incomplete deep right intended for Cody Latimer (defended by Brent Grimes),1.600,1.050
3,13:44,2,10,DEN 40,17,7,C.J. Anderson left guard for 9 yards (tackle by Bradley McDougald),1.050,1.550
3,13:06,3,1,DEN 49,17,7,Paxton Lynch pass complete short right to C.J. Anderson for 3 yards (tackle by Jude Adjei-Barimah),1.550,2.390
3,12:31,1,10,TAM 48,17,7,Devontae Booker left end for 1 yard (tackle by Lavonte David),2.390,1.980
3,11:56,2,9,TAM 47,17,7,Paxton Lynch pass complete short left to Emmanuel Sanders for 9 yards (tackle by Vernon Hargreaves),1.980,3.050
3,11:20,1,10,TAM 38,17,7,Devontae Booker left guard for 7 yards (tackle by Bradley McDougald and Lavonte David),3.050,3.450
3,10:40,2,3,TAM 31,17,7,Paxton Lynch pass incomplete short right intended for Devontae Booker,3.450,2.740
3,10:32,3,3,TAM 31,17,7,"Paxton Lynch pass incomplete short right intended for Demaryius Thomas. Penalty on Chris Conte: Defensive Holding, 5 yards (no play)",2.740,3.840
3,10:25,1,10,TAM 26,17,7,C.J. Anderson left tackle for 10 yards (tackle by Chris Conte),3.840,4.510
3,9:41,1,10,TAM 16,17,7,C.J. Anderson left tackle for no gain (tackle by Akeem Spence and Channing Ward),4.510,3.900
3,9:06,2,10,TAM 16,17,7,Paxton Lynch pass complete short left to Demaryius Thomas for 11 yards (tackle by Chris Conte and Vernon Hargreaves),3.900,6.060
3,8:28,1,5,TAM 5,17,7,C.J. Anderson right tackle for 2 yards (tackle by Bradley McDougald and Akeem Spence),6.060,5.530
3,7:46,2,3,TAM 3,17,7,C.J. Anderson right end for -3 yards (tackle by William Gholston),5.530,4.040
3,7:13,3,6,TAM 6,17,7,Paxton Lynch pass incomplete short left intended for Cody Latimer,4.040,2.990
3,7:07,4,6,TAM 6,20,7,Brandon McManus 24 yard field goal good,2.990,3.000
3,7:07,,,DEN 35,20,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,7:03,1,10,TAM 25,20,7,Charles Sims middle for 1 yard (tackle by Derek Wolfe and Von Miller),0.610,0.200
3,6:29,2,9,TAM 26,20,7,Jameis Winston pass incomplete short right intended for Vincent Jackson,0.200,-0.490
3,6:23,3,9,TAM 26,20,7,Jameis Winston sacked by Derek Wolfe for -8 yards,-0.490,-2.240
3,5:40,4,17,TAM 18,20,7,"Bryan Anger punts 44 yards, returned by Jordan Norwood for -3 yards, lateral to Cody Latimer for no gain (tackle by Josh Keyes). Penalty on Kayvon Webster: Offensive Holding, 10 yards",-2.240,-0.610
3,5:25,1,10,DEN 25,20,7,Paxton Lynch pass complete short left to Emmanuel Sanders for 2 yards (tackle by Vernon Hargreaves),0.610,0.330
3,4:49,2,8,DEN 27,20,7,C.J. Anderson right guard for 3 yards (tackle by Kwon Alexander),0.330,0.040
3,4:04,3,5,DEN 30,20,7,Paxton Lynch pass complete short middle to Emmanuel Sanders for 17 yards (tackle by Brent Grimes),0.040,2.060
3,3:32,1,10,DEN 47,20,7,C.J. Anderson right guard for 6 yards (tackle by Bradley McDougald),2.060,2.330
3,2:56,2,4,TAM 47,20,7,Devontae Booker right tackle for no gain (tackle by Daryl Smith and Clinton McDonald),2.330,1.620
3,2:20,3,4,TAM 47,20,7,Paxton Lynch pass incomplete deep right intended for Emmanuel Sanders,1.620,0.130
3,2:14,4,4,TAM 47,20,7,Riley Dixon punts 40 yards,0.130,0.380
3,2:05,1,10,TAM 7,20,7,Charles Sims left guard for 5 yards (tackle by Von Miller),-0.380,-0.420
3,1:31,2,5,TAM 12,20,7,Charles Sims middle for 2 yards (tackle by Brandon Marshall),-0.420,-0.600
3,0:54,3,3,TAM 14,20,7,Jameis Winston sacked by Derek Wolfe for -4 yards,-0.600,-2.490
3,0:16,4,7,TAM 10,20,7,"Bryan Anger punts 48 yards, fair catch by Jordan Norwood",-2.490,-1.730
3,0:08,1,10,DEN 42,20,7,Paxton Lynch pass incomplete deep middle intended for Emmanuel Sanders,1.730,1.190
3,0:01,2,10,DEN 42,20,7,C.J. Anderson right guard for -1 yards (tackle by Clinton McDonald),1.190,0.370
Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,11,DEN 41,20,7,Paxton Lynch pass incomplete short right intended for Demaryius Thomas (defended by Brent Grimes),0.370,-0.650
4,14:57,4,11,DEN 41,20,7,"Riley Dixon punts 54 yards, returned by Adam Humphries for 11 yards (tackle by Andy Janovich)",-0.650,0.140
4,14:44,1,10,TAM 16,20,7,"Jameis Winston pass complete short right to Charles Sims for 9 yards (tackle by Todd Davis). Penalty on Todd Davis: Horse Collar Tackle, 15 yards",-0.140,1.600
4,14:25,1,10,TAM 40,20,7,Jameis Winston pass complete short left to Mike Evans for 1 yard (tackle by Chris Harris),1.600,1.190
4,14:02,2,9,TAM 41,20,7,Jameis Winston pass incomplete deep right intended for Cameron Brate,1.190,0.500
4,13:54,3,9,TAM 41,20,7,Jameis Winston pass incomplete short left intended for Mike Evans,0.500,-0.650
4,13:43,4,9,TAM 41,20,7,"Bryan Anger punts 59 yards, touchback",-0.650,-0.280
4,13:34,1,10,DEN 20,20,7,Paxton Lynch pass complete deep right to Demaryius Thomas for 31 yards (tackle by Brent Grimes),0.280,2.320
4,13:06,1,10,TAM 49,20,7,"Paxton Lynch pass incomplete deep right intended for Demaryius Thomas. Penalty on Demaryius Thomas: Offensive Pass Interference, 10 yards (no play)",2.320,1.660
4,12:59,1,20,DEN 41,20,7,Devontae Booker middle for 3 yards (tackle by Lavonte David and Akeem Spence),1.660,0.840
4,12:26,2,17,DEN 44,20,7,Paxton Lynch pass complete short middle to Jordan Norwood for 21 yards (tackle by Chris Conte),0.840,3.250
4,11:47,1,10,TAM 35,20,7,Paxton Lynch pass complete short right to Jordan Taylor for 9 yards (tackle by Chris Conte),3.250,3.920
4,11:08,2,1,TAM 26,20,7,Kapri Bibbs left guard for 3 yards (tackle by Daryl Smith and Channing Ward),3.920,4.040
4,10:34,1,10,TAM 23,20,7,Kapri Bibbs left end for 9 yards (tackle by Bradley McDougald),4.040,4.950
4,9:54,2,1,TAM 14,20,7,Kapri Bibbs middle for 2 yards (tackle by Lavonte David),4.950,4.780
4,9:40,1,10,TAM 12,20,7,Devontae Booker left tackle for 7 yards (tackle by Vernon Hargreaves),4.780,5.410
4,9:01,2,3,TAM 5,26,7,"Paxton Lynch pass complete short right to Emmanuel Sanders for 5 yards, touchdown",5.410,7.000
4,9:01,,,TAM 5,27,7,Brandon McManus kicks extra point good,0.000,0.000
4,9:01,,,DEN 35,27,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
4,8:55,1,10,TAM 25,27,7,Jameis Winston pass complete deep left to Mike Evans for 25 yards (tackle by Darian Stewart),0.610,2.260
4,8:31,1,10,,27,7,"Jameis Winston pass complete short left to Mike Evans for 7 yards (tackle by Brandon Marshall). Penalty on Adam Humphries: Illegal Shift, 5 yards (no play)",2.260,1.930
4,8:16,1,15,TAM 45,27,7,Jacquizz Rodgers middle for 5 yards (tackle by Derek Wolfe),1.930,1.710
4,7:55,2,10,,27,7,Jameis Winston pass complete short left to Adam Humphries for 4 yards (tackle by Chris Harris),1.710,1.550
4,7:35,3,6,DEN 46,27,7,Jameis Winston pass incomplete deep left intended for Cameron Brate (defended by T.J. Ward),1.550,0.200
4,7:30,4,6,DEN 46,27,7,"Bryan Anger punts 35 yards, fair catch by Jordan Norwood",0.200,0.370
4,7:22,1,10,DEN 11,27,7,Devontae Booker left tackle for 1 yard (tackle by Clinton McDonald),-0.370,-0.710
4,6:33,2,9,DEN 12,27,7,"C.J. Anderson left end for 18 yards (tackle by Chris Conte). C.J. Anderson fumbles (forced by Chris Conte), ball out of bounds at DEN-33. Penalty on DEN: Illegal Shift (Declined), Penalty on Chris Conte: Horse Collar Tackle, 15 yards (no play)",-0.710,0.740
4,6:04,1,10,DEN 27,27,7,C.J. Anderson right end for 1 yard (tackle by DaVonte Lambert),0.740,0.330
4,5:20,2,9,DEN 28,27,7,C.J. Anderson left guard for 4 yards (tackle by Kwon Alexander),0.330,0.170
4,4:34,3,5,DEN 32,27,7,C.J. Anderson left end for 1 yard (tackle by Channing Ward and Akeem Spence),0.170,0.170
4,4:28,3,5,DEN 32,27,7,Timeout #1 by Tampa Bay Buccaneers,0.170,-1.180
4,4:28,4,4,DEN 33,27,7,Riley Dixon punts 48 yards,-1.180,-0.150
4,4:19,1,10,TAM 19,27,7,Jameis Winston pass complete deep middle to Cameron Brate for 19 yards (tackle by Corey Nelson),0.150,1.470
4,3:56,1,10,TAM 38,27,7,Jameis Winston pass incomplete deep right intended for Cameron Brate (defended by Todd Davis),1.470,0.920
4,3:52,2,10,TAM 38,27,7,Jameis Winston pass complete short middle to Jacquizz Rodgers for 4 yards (tackle by Corey Nelson),0.920,0.760
4,3:30,3,6,TAM 42,27,7,Jameis Winston pass complete short left to Mike Evans for 11 yards (tackle by Bradley Roby),0.760,2.460
4,3:03,1,10,DEN 47,27,7,Jameis Winston pass incomplete short left intended for Mike Evans,2.460,1.910
4,2:58,2,10,DEN 47,27,7,Jameis Winston left end for 5 yards (tackle by T.J. Ward),1.910,1.880
4,2:32,3,5,DEN 42,27,7,"Jameis Winston pass incomplete (defended by Billy Winn). Penalty on T.J. Ward: Illegal Contact, 5 yards (no play)",1.880,3.120
4,2:25,1,10,DEN 37,27,7,Jameis Winston sacked by Von Miller and Derek Wolfe for -8 yards,3.120,1.490
4,2:00,2,18,DEN 45,27,7,"Jameis Winston for no gain. Jameis Winston fumbles, recovered by Jameis Winston at TAM-39",1.490,1.490
4,1:53,2,18,DEN 45,27,7,Timeout #2 by Tampa Bay Buccaneers,1.490,-1.290
4,1:53,3,34,TAM 39,27,7,Jameis Winston sacked by Shaquil Barrett and Jared Crick for -9 yards,-1.290,-1.290
4,1:44,3,34,TAM 39,27,7,Timeout #3 by Tampa Bay Buccaneers,-1.290,-1.370
4,1:43,4,43,TAM 30,27,7,Jameis Winston pass incomplete deep right intended for Mike Evans,-1.370,-3.580
4,1:36,1,10,TAM 30,27,7,Paxton Lynch kneels for -1 yards,3.580,2.900
4,0:55,2,11,TAM 31,27,7,Paxton Lynch kneels for -1 yards,2.900,2.080
4,0:25,3,12,TAM 32,27,7,Paxton Lynch kneels for -2 yards,2.080,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
