Quarter,Time,Tm,Detail,DEN,TAM
1.0,13:26,Broncos,Demaryius Thomas 11 yard pass from Trevor Siemian (Brandon McManus kick),7,0
,6:40,Buccaneers,Jameis Winston 7 yard rush (Roberto Aguayo kick),7,7
2.0,12:14,Broncos,C.J. Anderson 1 yard rush (Brandon McManus kick),14,7
,0:05,Broncos,Brandon McManus 38 yard field goal,17,7
3.0,7:03,Broncos,Brandon McManus 24 yard field goal,20,7
4.0,8:55,Broncos,Emmanuel Sanders 5 yard pass from Paxton Lynch (Brandon McManus kick),27,7
