Unnamed: 0,DEN,TAM
First Downs,22,15
Rush-Yds-TDs,32-89-1,26-72-1
Cmp-Att-Yd-TD-INT,19-31-238-2-0,17-35-179-0-2
Sacked-Yards,4-20,5-36
Net Pass Yards,218,143
Total Yards,307,215
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,9-88,9-69
Third Down Conv.,3-13,5-16
Fourth Down Conv.,0-0,0-1
Time of Possession,31:24,28:36
