Unnamed: 0,TAM,IND
First Downs,12,28
Rush-Yds-TDs,12-17-0,40-147-2
Cmp-Att-Yd-TD-INT,21-27-165-2-1,29-37-253-2-1
Sacked-Yards,1-5,0-0
Net Pass Yards,160,253
Total Yards,177,400
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,3-21,2-15
Third Down Conv.,4-9,12-16
Fourth Down Conv.,0-0,1-1
Time of Possession,21:45,38:15
