Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA
1,5:38,2,7,IND 47,0,7,Peyton Manning pass complete short left to Reggie Wayne for 8 yards (tackle by Ronde Barber),1.720,2.590
1,5:04,1,10,TAM 45,0,7,Kenton Keith right end for 1 yard (tackle by Phillip Buchanon and Derrick Brooks),2.590,2.180
1,4:23,2,9,TAM 44,0,7,Peyton Manning pass complete short right to Kenton Keith for 7 yards (tackle by Cato June),2.180,2.410
1,3:35,3,2,TAM 37,0,7,Kenton Keith right guard for 1 yard (tackle by Barrett Ruud and Cato June),2.410,0.890
1,2:52,4,1,TAM 36,0,7,Kenton Keith right guard for 2 yards (tackle by Stylez G. White and Jovan Haye),0.890,3.310
1,2:24,1,10,TAM 34,0,7,Peyton Manning pass complete short left to Reggie Wayne for 11 yards (tackle by Derrick Brooks),3.310,4.040
1,1:38,1,10,TAM 23,0,7,Peyton Manning pass complete short right to Anthony Gonzalez for 7 yards (tackle by Cato June),4.040,4.560
1,0:55,2,3,TAM 16,0,7,Peyton Manning pass complete short left to Reggie Wayne for 5 yards (tackle by Ronde Barber),4.560,4.840
1,0:20,1,10,TAM 11,0,7,Clifton Dawson up the middle for 4 yards (tackle by Jovan Haye),4.840,4.890
Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,TAM 7,0,7,"Peyton Manning pass incomplete short left intended for Reggie Wayne. Penalty on Ronde Barber: Defensive Pass Interference, 6 yards (no play)",4.890,6.970
2,14:57,1,1,TAM 1,0,13,"Kenton Keith left guard for 1 yard, touchdown",6.970,7.000
2,,,,TAM 2,0,13,Adam Vinatieri kicks extra point no good,0.000,-1.000
2,,,,IND 30,0,13,"Adam Vinatieri kicks off 69 yards, returned by Mark Jones for 32 yards (tackle by Dante Hughes)",0.000,1.140
2,14:47,1,10,TAM 33,0,13,Jeff Garcia pass complete short middle to Earnest Graham for 5 yards (tackle by Tyjuan Hagler),1.140,1.270
2,14:09,2,5,TAM 38,0,13,Earnest Graham right end for -3 yards (tackle by Antoine Bethea and Tyjuan Hagler),1.270,0.170
2,13:25,3,8,TAM 35,0,13,Jeff Garcia pass complete short right to Ike Hilliard for 5 yards (tackle by Kelvin Hayden),0.170,-0.720
2,12:45,4,3,TAM 40,0,13,Josh Bidwell punts 26 yards,-0.720,-1.270
2,12:39,1,10,IND 35,0,13,Peyton Manning pass incomplete short left intended for Kenton Keith,1.270,0.720
2,12:35,2,10,IND 35,0,13,Peyton Manning pass incomplete deep middle intended for Dallas Clark (defended by Tanard Jackson),0.720,0.040
2,12:30,3,10,IND 35,0,13,"Peyton Manning pass incomplete deep middle intended for Reggie Wayne is intercepted by Tanard Jackson at TAM-28 and returned for 48 yards. Penalty on Patrick Chukwurah: Illegal Block Above the Waist, 10 yards",0.040,-1.860
2,12:15,1,10,TAM 44,0,13,Michael Pittman up the middle for 4 yards (tackle by Gary Brackett),1.860,1.860
2,11:39,2,6,TAM 48,0,13,Jeff Garcia pass complete short middle to Michael Pittman for 7 yards (tackle by Tyjuan Hagler),1.860,2.590
2,10:59,1,10,IND 45,0,13,Jeff Garcia pass complete short right to Joey Galloway for 5 yards (tackle by Kelvin Hayden),2.590,2.720
2,10:16,2,5,IND 40,0,13,Michael Pittman right end for -3 yards (tackle by Tyjuan Hagler),2.720,1.620
2,9:37,3,8,IND 43,0,13,Jeff Garcia pass complete short right to Joey Galloway for 13 yards (tackle by Gary Brackett),1.620,3.580
2,8:57,1,10,IND 30,0,13,Jeff Garcia pass complete short left to Ike Hilliard for 16 yards (tackle by Rocky Boiman),3.580,4.650
2,8:14,1,10,IND 14,0,13,Michael Pittman left tackle for 4 yards (tackle by Tyjuan Hagler),4.650,4.710
2,7:33,2,6,IND 10,0,13,Jeff Garcia right end for 7 yards (tackle by Antoine Bethea),4.710,6.510
2,6:47,1,3,IND 3,6,13,"Jeff Garcia pass complete short right to Alex Smith for 3 yards, touchdown",6.510,7.000
2,,,,IND 2,7,13,Matt Bryant kicks extra point good,0.000,0.000
2,,,,TAM 30,7,13,"Matt Bryant kicks off 61 yards, returned by Craphonso Thorpe for 35 yards (tackle by Maurice Stovall)",0.000,1.860
2,6:35,1,10,IND 44,7,13,Reggie Wayne right end for 4 yards (tackle by Tanard Jackson),1.860,1.860
2,6:02,2,6,IND 48,7,13,Kenton Keith up the middle for 2 yards (tackle by Kevin Carter),1.860,1.420
2,5:38,,,,7,13,Timeout #1 by Tampa Bay Buccaneers,0.000,1.420
2,5:38,3,4,,7,13,Peyton Manning pass complete short left to Reggie Wayne for 5 yards (tackle by Phillip Buchanon),1.420,2.590
2,5:03,1,10,TAM 45,7,13,Peyton Manning pass complete short left to Dallas Clark for 2 yards (tackle by Derrick Brooks),2.590,2.310
2,4:23,2,8,TAM 43,7,13,"Kenton Keith right guard for 5 yards (tackle by Chris Hovan). Penalty on Ryan Lilja: Offensive Holding, 10 yards (no play)",2.310,0.960
2,3:51,2,18,IND 47,7,13,Peyton Manning pass complete short left to Kenton Keith for no gain,0.960,0.300
2,3:14,3,18,IND 47,7,13,Peyton Manning pass incomplete short left intended for Kenton Keith,0.300,-0.260
2,3:09,4,18,IND 47,7,13,"Hunter Smith punts 33 yards, fair catch by Mark Jones",-0.260,-0.280
2,3:00,1,10,TAM 20,7,13,Earnest Graham up the middle for 4 yards (tackle by Edward Johnson and Robert Mathis),0.280,0.270
2,2:22,2,6,TAM 24,7,13,Jeff Garcia pass incomplete short left intended for Alex Smith,0.270,-0.430
2,2:19,3,6,TAM 24,7,13,Jeff Garcia pass incomplete short middle intended for Joey Galloway,-0.430,-1.770
2,2:13,4,6,TAM 24,7,13,"Josh Bidwell punts 53 yards, returned by Craphonso Thorpe for 1 yard (tackle by Kalvin Pearson)",-1.770,-0.540
2,2:01,1,10,IND 24,7,13,Peyton Manning pass complete short right to Anthony Gonzalez for 9 yards (tackle by Derrick Brooks),0.540,1.210
2,1:55,2,1,IND 33,7,13,Kenton Keith left tackle for 6 yards (tackle by Derrick Brooks),1.210,1.530
2,1:39,1,10,IND 39,7,13,Peyton Manning pass complete short left to Dallas Clark for 7 yards (tackle by Phillip Buchanon),1.530,1.930
2,1:34,2,3,IND 46,7,13,Kenton Keith right end for 2 yards (tackle by Barrett Ruud and Gaines Adams),1.930,1.490
2,1:18,,,,7,13,Timeout #2 by Tampa Bay Buccaneers,0.000,1.490
2,1:18,3,1,IND 48,7,13,Kenton Keith for 2 yards (tackle by Brian Kelly),1.490,2.260
2,1:14,1,10,,7,13,Peyton Manning pass complete deep middle to Anthony Gonzalez for 21 yards (tackle by Jermaine Phillips),2.260,3.640
2,1:04,,,,7,13,Timeout #1 by Indianapolis Colts,0.000,3.640
2,1:04,1,10,TAM 29,7,13,Peyton Manning pass incomplete deep middle intended for Anthony Gonzalez,3.640,3.100
2,0:59,2,10,TAM 29,7,13,Peyton Manning pass complete short middle to Bryan Fletcher for 9 yards (tackle by Patrick Chukwurah),3.100,3.600
2,0:39,3,1,TAM 20,7,13,Kenton Keith left guard for 4 yards (tackle by Derrick Brooks and Tanard Jackson),3.600,4.510
2,0:31,,,,7,13,Timeout #2 by Indianapolis Colts,0.000,4.510
2,0:31,1,10,TAM 16,7,13,Peyton Manning pass complete short left to Kenton Keith for 3 yards (tackle by Phillip Buchanon),4.510,4.390
2,0:10,2,7,TAM 13,7,13,Peyton Manning pass complete short left to Anthony Gonzalez for 4 yards (tackle by Phillip Buchanon),4.390,4.390
2,0:05,3,3,TAM 9,7,16,Adam Vinatieri 27 yard field goal good,4.390,3.000
Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,7,16,"Matt Bryant kicks off 64 yards, returned by Craphonso Thorpe for 17 yards (tackle by Jermaine Phillips)",0.000,0.480
3,14:56,1,10,IND 23,7,16,Kenton Keith left end for no gain (tackle by Barrett Ruud),0.480,-0.070
3,14:22,2,10,IND 23,7,16,Peyton Manning pass complete short middle to Kenton Keith for 14 yards (tackle by Barrett Ruud),-0.070,1.400
3,13:39,1,10,IND 37,7,16,Kenton Keith left tackle for 1 yard (tackle by Barrett Ruud),1.400,0.990
3,12:58,2,9,IND 38,7,16,Peyton Manning pass complete short left to Bryan Fletcher for 16 yards (tackle by Derrick Brooks),0.990,2.520
3,12:33,1,10,TAM 46,7,16,Kenton Keith right end for -1 yards (tackle by Kevin Carter),2.520,1.840
3,11:47,2,11,TAM 47,7,16,Peyton Manning pass complete short left to Reggie Wayne for 8 yards (tackle by Phillip Buchanon),1.840,2.210
3,11:17,3,3,TAM 39,7,16,Peyton Manning pass complete short right to Anthony Gonzalez for 13 yards (tackle by Brian Kelly),2.210,3.840
3,10:38,1,10,TAM 26,7,16,Clifton Dawson right guard for 5 yards (tackle by Derrick Brooks and Chris Hovan),3.840,3.970
3,9:57,2,5,TAM 21,7,16,Peyton Manning pass complete short middle to Dallas Clark for 4 yards (tackle by Derrick Brooks),3.970,3.950
3,9:14,3,1,TAM 17,7,16,Clifton Dawson up the middle for 3 yards (tackle by Gaines Adams),3.950,4.650
3,8:34,1,10,TAM 14,7,16,Clifton Dawson left guard for 3 yards (tackle by Gaines Adams and Jovan Haye),4.650,4.520
3,7:49,2,7,TAM 11,7,16,Kenton Keith right guard for 4 yards (tackle by Gaines Adams),4.520,4.500
3,7:24,3,3,TAM 7,7,22,"Kenton Keith right guard for 7 yards, touchdown. Penalty on TAM: Defensive 12 On-field (Declined), Penalty on Chris Hovan: Defensive Offside (Declined)",4.500,7.000
3,,,,TAM 2,7,23,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,IND 30,7,23,"Adam Vinatieri kicks off 70 yards, touchback",0.000,0.280
3,7:23,1,10,TAM 20,7,23,Earnest Graham left guard for 2 yards (tackle by Raheem Brock and Gary Brackett),0.280,0.000
3,6:47,2,8,TAM 22,7,23,Jeff Garcia pass complete short right to B.J. Askew for 3 yards (tackle by Kelvin Hayden),0.000,-0.300
3,6:00,3,5,TAM 25,7,23,Jeff Garcia pass incomplete short left intended for Joey Galloway (defended by Tim Jennings),-0.300,-1.700
3,5:53,4,5,TAM 25,7,23,"Josh Bidwell punts 45 yards, returned by Craphonso Thorpe for 2 yards (tackle by Quincy Black)",-1.700,-1.070
3,5:42,1,10,IND 32,7,23,Clifton Dawson right end for 1 yard (tackle by Barrett Ruud),1.070,0.660
3,5:08,2,9,IND 33,7,23,Peyton Manning pass complete short middle to Clifton Dawson for 9 yards (tackle by Barrett Ruud),0.660,1.730
3,4:28,1,10,IND 42,7,23,Clifton Dawson left tackle for 3 yards (tackle by Jovan Haye),1.730,1.590
3,3:45,2,7,IND 45,7,23,Peyton Manning pass complete short middle to Kenton Keith for 13 yards (tackle by Ronde Barber),1.590,2.790
3,3:01,1,10,TAM 42,7,23,Kenton Keith right tackle for 12 yards (tackle by Greg Peterson),2.790,3.580
3,2:18,1,10,TAM 30,7,23,Luke Lawton left guard for no gain (tackle by Chris Hovan),3.580,3.030
3,1:35,2,10,TAM 30,7,23,Peyton Manning pass complete short right to Anthony Gonzalez for 6 yards (tackle by Phillip Buchanon),3.030,3.140
3,0:52,3,4,TAM 24,7,23,Kenton Keith up the middle for 15 yards (tackle by Tanard Jackson and Jermaine Phillips),3.140,5.140
3,0:06,1,9,TAM 9,7,23,Peyton Manning pass incomplete short left intended for Reggie Wayne,5.140,4.380
3,0:01,2,9,TAM 9,7,23,Kenton Keith right end for no gain (tackle by Phillip Buchanon),4.380,3.360
Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,TAM 9,7,29,"Peyton Manning pass complete short middle to Reggie Wayne for 9 yards, touchdown",3.360,7.000
4,,,,TAM 2,7,30,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,7,30,"Adam Vinatieri kicks off 71 yards, returned by Mark Jones for 20 yards (tackle by Ramon Guzman)",0.000,0.150
4,14:53,1,10,TAM 19,7,30,Jeff Garcia pass complete short middle to Ike Hilliard for 5 yards (tackle by Gary Brackett),0.150,0.340
4,14:20,2,5,TAM 24,7,30,Jeff Garcia pass incomplete short right intended for Ike Hilliard,0.340,-0.420
4,14:15,3,5,TAM 24,7,30,Jeff Garcia pass complete short middle to Ike Hilliard for 5 yards (tackle by Antoine Bethea),-0.420,0.870
4,13:37,1,10,TAM 29,7,30,Earnest Graham up the middle for 9 yards (tackle by Raheem Brock),0.870,1.540
4,12:55,2,1,TAM 38,7,30,Jeff Garcia pass complete short right to Ike Hilliard for 6 yards (tackle by Tyjuan Hagler),1.540,1.860
4,12:18,1,10,TAM 44,7,30,Jeff Garcia pass incomplete deep right intended for Joey Galloway,1.860,1.320
4,12:12,2,10,TAM 44,7,30,Jeff Garcia pass complete short right to Jerramy Stevens for 5 yards (tackle by Kelvin Hayden),1.320,1.290
4,11:45,3,5,TAM 49,7,30,Jeff Garcia pass complete short left to Joey Galloway for 27 yards (tackle by Matt Giordano),1.290,3.970
4,11:22,1,10,IND 24,7,30,Jeff Garcia pass complete short middle to Earnest Graham for 13 yards (tackle by Antoine Bethea),3.970,4.840
4,10:38,1,10,IND 11,7,30,Earnest Graham left end for no gain (tackle by Tyjuan Hagler),4.840,4.140
4,9:57,2,10,IND 11,7,30,Jeff Garcia pass complete short left to Ike Hilliard for 8 yards (tackle by Antoine Bethea),4.140,4.890
4,9:24,3,2,IND 3,13,30,"Jeff Garcia pass complete short left to Alex Smith for 3 yards, touchdown",4.890,7.000
4,,,,IND 2,14,30,Matt Bryant kicks extra point good,0.000,0.000
4,,,,,14,30,"Matt Bryant kicks onside 12 yards. Penalty on Ryan Nece: Offside on Free Kick, 5 yards (no play)",0.000,-0.140
4,,,,TAM 25,,,"Matt Bryant kicks off 65 yards, returned by Craphonso Thorpe for 6 yards (tackle by Will Allen)",,
4,9:19,1,10,IND 16,14,30,Kenton Keith left tackle for 22 yards (tackle by Derrick Brooks),-0.140,1.470
4,8:31,1,10,IND 38,14,30,Kenton Keith up the middle for 3 yards (tackle by Chris Hovan and Jovan Haye),1.470,1.330
4,7:47,2,7,IND 41,14,30,Clifton Dawson right end for 2 yards (tackle by Barrett Ruud),1.330,0.890
4,7:01,3,5,IND 43,14,30,Peyton Manning pass complete short left to Reggie Wayne for 16 yards (tackle by Phillip Buchanon),0.890,2.850
4,6:11,1,10,TAM 41,14,30,Clifton Dawson right guard for 3 yards (tackle by Derrick Brooks and Chris Hovan),2.850,2.710
4,5:24,2,7,TAM 38,14,30,Peyton Manning pass incomplete short left intended for Clifton Dawson,2.710,2.020
4,5:19,3,7,TAM 38,14,30,Kenton Keith right tackle for 12 yards (tackle by Tanard Jackson),2.020,3.840
4,4:35,1,10,TAM 26,14,30,Kenton Keith right end for 2 yards (tackle by Jermaine Phillips and Barrett Ruud),3.840,3.570
4,3:52,2,8,TAM 24,14,30,Kenton Keith right tackle for 1 yard (tackle by Chris Hovan),3.570,3.010
4,3:06,3,7,TAM 23,14,30,Kenton Keith right tackle for 6 yards (tackle by Ronde Barber and Greg Peterson),3.010,2.460
4,2:58,,,,14,30,Timeout #1 by Tampa Bay Buccaneers,0.000,2.460
4,2:57,4,1,TAM 17,14,33,Adam Vinatieri 35 yard field goal good,2.460,3.000
4,,,,IND 30,14,33,"Adam Vinatieri kicks off 70 yards, returned by Mark Jones for 28 yards (tackle by Darrell Reid)",0.000,0.810
4,2:48,1,10,TAM 28,14,33,Bruce Gradkowski pass complete short middle to Jerramy Stevens for 9 yards (tackle by Gary Brackett),0.810,1.480
4,2:28,2,1,TAM 37,14,33,"Bruce Gradkowski pass complete short right to Ike Hilliard for 4 yards (tackle by Gary Brackett). Penalty on Robert Mathis: Defensive Offside, 5 yards (no play)",1.480,1.730
4,2:19,1,10,TAM 42,14,33,Bruce Gradkowski pass complete short right to Ike Hilliard for 2 yards (tackle by Kelvin Hayden),1.730,1.460
4,2:00,2,8,TAM 44,14,33,Bruce Gradkowski pass complete short right to Ike Hilliard for 11 yards (tackle by Antoine Bethea),1.460,2.590
4,1:32,1,10,IND 45,14,33,Bruce Gradkowski pass incomplete deep right intended for Joey Galloway is intercepted by Antoine Bethea at IND-26 and returned for 11 yards,2.590,-1.400
4,1:19,1,10,IND 37,14,33,Peyton Manning kneels for -1 yards,1.400,0.720
4,0:39,2,11,IND 36,14,33,Peyton Manning kneels for -1 yards,0.720,-0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
