Quarter,Time,Tm,Detail,TAM,IND
1.0,10:19,Colts,Dallas Clark 10 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
2.0,14:53,Colts,Kenton Keith 1 yard rush (Adam Vinatieri kick failed),0,13
,6:43,Buccaneers,Alex Smith 3 yard pass from Jeff Garcia (Matt Bryant kick),7,13
,0:00,Colts,Adam Vinatieri 27 yard field goal,7,16
3.0,7:23,Colts,Kenton Keith 7 yard rush (Adam Vinatieri kick),7,23
4.0,14:57,Colts,Reggie Wayne 9 yard pass from Peyton Manning (Adam Vinatieri kick),7,30
,9:21,Buccaneers,Alex Smith 3 yard pass from Jeff Garcia (Matt Bryant kick),14,30
,2:53,Colts,Adam Vinatieri 35 yard field goal,14,33
