Unnamed: 0,NOR,DAL
First Downs,20,24
Rush-Yds-TDs,13-104-0,35-190-2
Cmp-Att-Yd-TD-INT,32-44-340-2-1,22-29-262-3-0
Sacked-Yards,2-6,1-7
Net Pass Yards,334,255
Total Yards,438,445
Fumbles-Lost,2-2,2-0
Turnovers,3,0
Penalties-Yards,3-20,6-50
Third Down Conv.,4-10,8-14
Fourth Down Conv.,1-2,0-0
Time of Possession,25:15,34:45
