Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DAL 20,0,0,DeMarco Murray up the middle for 1 yard (tackle by Brodrick Bunkley),0.280,-0.130
1,14:27,2,9,DAL 21,0,0,Tony Romo pass complete short middle to Terrance Williams for 15 yards (tackle by Corey White),-0.130,1.330
1,13:55,1,10,DAL 36,0,0,DeMarco Murray left end for 1 yard (tackle by Ramon Humber),1.330,0.930
1,13:15,2,9,DAL 37,0,0,Tony Romo pass complete short middle to Gavin Escobar for 6 yards (tackle by Curtis Lofton),0.930,1.030
1,12:34,3,3,DAL 43,0,0,Tony Romo pass complete deep middle to Jason Witten for 16 yards (tackle by Kenny Vaccaro). Penalty on Jairus Byrd: Illegal Contact (Declined),1.030,2.850
1,12:05,1,10,NOR 41,0,0,Tony Romo pass complete short right to DeMarco Murray for 6 yards (tackle by Kenny Vaccaro),2.850,3.120
1,11:36,2,4,NOR 35,0,0,DeMarco Murray left end for 2 yards (tackle by Curtis Lofton),3.120,2.680
1,10:50,3,2,NOR 33,0,0,Tony Romo pass complete short left to Jason Witten for 9 yards (tackle by Kenny Vaccaro),2.680,3.970
1,10:05,1,10,NOR 24,0,0,Tony Romo pass complete short right to Dwayne Harris for 8 yards (tackle by Corey White),3.970,4.650
1,9:22,2,2,NOR 16,0,0,DeMarco Murray right tackle for 11 yards (tackle by Ramon Humber),4.650,6.060
1,8:36,1,5,NOR 5,0,0,DeMarco Murray left tackle for -1 yards (tackle by Akiem Hicks),6.060,4.950
1,7:57,2,6,NOR 6,0,6,"Tony Romo pass complete short left to Terrance Williams for 6 yards, touchdown",4.950,7.000
1,7:57,,,NOR 2,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,7:57,,,DAL 35,0,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,7:50,1,10,NOR 20,0,7,Khiry Robinson left tackle for 4 yards (tackle by Jeremy Mincey and Tyrone Crawford),0.280,0.270
1,7:18,2,6,NOR 24,0,7,"Drew Brees pass incomplete deep left intended for Jimmy Graham. Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",0.270,0.870
1,7:14,1,10,NOR 29,0,7,"Drew Brees pass incomplete short middle intended for Marques Colston. Penalty on Justin Durant: Illegal Contact, 5 yards (no play)",0.870,1.200
1,7:08,1,10,NOR 34,0,7,Drew Brees pass complete short left to Travaris Cadet for 7 yards (tackle by Barry Church),1.200,1.600
1,6:41,2,3,NOR 41,0,7,Drew Brees pass complete short right to Brandin Cooks for no gain,1.600,0.890
1,6:04,3,3,NOR 41,0,7,Drew Brees up the middle for 6 yards (tackle by J.J. Wilcox),0.890,2.060
1,5:41,1,10,NOR 47,0,7,Khiry Robinson left guard for 5 yards (tackle by Justin Durant and Brandon Carr),2.060,2.190
1,5:06,2,5,DAL 48,0,7,Drew Brees pass complete short middle to Travaris Cadet for 2 yards (tackle by Jeremy Mincey),2.190,1.750
1,4:35,3,3,DAL 46,0,7,Travaris Cadet left end for 1 yard (tackle by Orlando Scandrick),1.750,0.270
1,3:54,4,2,DAL 45,0,7,Thomas Morstead punts 34 yards,0.270,0.370
1,3:43,1,10,DAL 11,0,7,DeMarco Murray left tackle for 5 yards (tackle by Curtis Lofton),-0.370,-0.300
1,3:01,2,5,DAL 16,0,7,Tony Romo pass complete short middle to Cole Beasley for 4 yards (tackle by Curtis Lofton),-0.300,-0.370
1,2:15,3,1,DAL 20,0,7,DeMarco Murray left end for 5 yards (tackle by Parys Haralson and Jairus Byrd),-0.370,0.610
1,1:42,1,10,DAL 25,0,7,Tony Romo pass complete short right to Terrance Williams for 16 yards (tackle by Kenny Vaccaro),0.610,1.660
1,1:04,1,10,DAL 41,0,7,DeMarco Murray right guard for 17 yards (tackle by Rafael Bush),1.660,2.790
1,0:19,1,10,NOR 42,0,7,Joseph Randle left tackle for 1 yard (tackle by Cameron Jordan),2.790,2.380
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NOR 41,0,7,Tony Romo pass incomplete short left intended for Lance Dunbar,2.380,1.680
2,14:56,3,9,NOR 41,0,7,Tony Romo pass incomplete short left intended for Devin Street (defended by Jairus Byrd),1.680,0.530
2,14:50,4,9,NOR 41,0,7,"Chris Jones punts 29 yards, fair catch by Jairus Byrd",0.530,0.350
2,14:44,1,10,NOR 12,0,7,Khiry Robinson right tackle for 3 yards (tackle by Rolando McClain),-0.350,-0.500
2,14:02,2,7,NOR 15,0,7,Drew Brees pass complete short middle to Marques Colston for 6 yards (tackle by Barry Church and Orlando Scandrick),-0.500,-0.370
2,13:26,3,1,NOR 21,0,7,Austin Johnson up the middle for 2 yards (tackle by Jeremy Mincey and Nick Hayden),-0.370,0.480
2,12:42,1,10,NOR 23,0,7,Drew Brees pass complete short left to Khiry Robinson for 12 yards (tackle by Bruce Carter and Sterling Moore),0.480,1.270
2,12:00,1,10,NOR 35,0,7,Drew Brees pass complete short middle to Brandin Cooks for 12 yards (tackle by Brandon Carr),1.270,2.060
2,11:27,1,10,NOR 47,0,7,Drew Brees pass complete deep middle to Marques Colston for 22 yards (tackle by J.J. Wilcox),2.060,3.510
2,10:46,1,10,DAL 31,0,7,Khiry Robinson left end for 1 yard (tackle by Anthony Spencer),3.510,3.100
2,10:05,2,9,DAL 30,0,7,Drew Brees pass incomplete short right intended for Khiry Robinson,3.100,2.410
2,9:59,3,9,DAL 30,0,7,Drew Brees pass complete short left to Ben Watson for 7 yards (tackle by Barry Church),2.410,2.050
2,9:13,4,2,DAL 23,0,7,Shayne Graham 41 yard field goal no good,2.050,-1.000
2,9:07,1,10,DAL 31,0,7,Tony Romo pass complete short middle to Lance Dunbar for 12 yards (tackle by Jairus Byrd),1.000,1.800
2,8:32,1,10,DAL 43,0,7,DeMarco Murray up the middle for 2 yards (tackle by Brodrick Bunkley and Curtis Lofton),1.800,1.520
2,7:54,2,8,DAL 45,0,7,Tony Romo pass complete deep left to Dez Bryant for 17 yards (tackle by Jairus Byrd),1.520,3.050
2,7:17,1,10,NOR 38,0,7,DeMarco Murray left tackle for 1 yard (tackle by Ramon Humber and Brodrick Bunkley),3.050,2.640
2,6:32,2,9,NOR 37,0,7,DeMarco Murray up the middle for 4 yards (tackle by Cameron Jordan and Rafael Bush),2.640,2.480
2,5:50,3,5,NOR 33,0,7,Tony Romo pass incomplete deep middle intended for Terrance Williams,2.480,1.170
2,5:43,4,5,NOR 33,0,10,Dan Bailey 51 yard field goal good,1.170,3.000
2,5:43,,,DAL 35,0,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,5:38,1,10,NOR 20,0,10,Drew Brees pass complete short left to Jimmy Graham for 8 yards (tackle by Sterling Moore),0.280,0.810
